instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,3636972,100.8405,66,0.675302586,55970980,338,0.72306981,0.60522847,4692,1590,818,2004
citeseer,2,3636972,100.7318,66,0.699239610,57954948,344,0.73330304,0.61313708,4842,1668,740,1854
citeseer,3,3636972,100.9661,66,0.685142937,56786576,331,0.72474400,0.60434974,4742,1648,760,1954
citeseer,4,3636972,100.8602,66,0.692921775,57431308,329,0.74330900,0.62917399,4888,1568,840,1808
citeseer,5,3636972,100.8888,66,0.675669755,56001412,337,0.72032069,0.60149385,4672,1604,804,2024
cora,1,1361764,100.0115,238,0.747005289,83238154,71,0.84469170,0.74611595,7288,1418,588,1262
cora,2,1361764,100.1123,240,0.751278408,83714304,74,0.83300407,0.72773778,7168,1492,514,1382
cora,3,1361764,100.3586,240,0.710844729,79208814,74,0.82149169,0.71295945,6972,1452,554,1578
cora,4,1361764,100.3769,241,0.745854315,83109902,75,0.83982785,0.73910572,7220,1424,582,1330
cora,5,1361764,100.3631,240,0.738734651,82316564,75,0.83549583,0.73095870,7212,1502,504,1338
pubmed,1,12965804,105.6652,14,0.006631349,52112250,28,0.63336793,0.51378486,37230,9202,8316,33900
pubmed,2,12965804,106.0125,14,0.002265451,17802974,26,0.66092619,0.53713564,39990,9892,7626,31140
pubmed,3,12965804,100.0057,13,0.007958381,62540688,27,0.62378991,0.50550492,36342,9048,8470,34788
pubmed,4,12965804,100.1987,13,0.003695911,29044202,25,0.65025322,0.52790813,38904,9624,7894,32226
pubmed,5,12965804,103.1476,13,0.006135961,48219254,24,0.57200094,0.46496255,31694,7994,9524,39436
coauthor_cs,1,11283452,106.4900,16,0.033766759,905844264,16,0.49358111,0.40800303,47252,11864,19574,85098
coauthor_cs,2,11283452,102.2155,15,0.009405479,252316170,20,0.71008542,0.58015239,84214,20630,10808,48136
coauthor_cs,3,11283452,100.8281,15,0.018381086,493100384,12,0.62222592,0.50134320,67262,16586,14852,65088
coauthor_cs,4,11283452,100.0347,15,0.008881702,238265066,14,0.71438986,0.58379124,85256,21076,10362,47094
coauthor_cs,5,11283452,105.7354,16,0.006841494,183533402,14,0.68344837,0.55422864,78818,19480,11958,53532
amazon_photo,1,2594596,101.1259,66,0.442975065,25126049904,12,0.84976861,0.75437727,165444,26924,14220,31574
amazon_photo,2,2594596,101.4768,66,0.449014269,25468600468,15,0.86174547,0.76374904,175354,34602,6542,21664
amazon_photo,3,2594596,100.0424,65,0.214617615,12173355458,12,0.66110477,0.54357958,106026,17710,23434,90992
amazon_photo,4,2594596,100.2836,65,0.163374049,9266762070,14,0.89981452,0.81856048,194054,40248,896,2964
amazon_photo,5,2594596,100.2515,65,0.011975173,679245448,8,0.90327786,0.82384259,195902,40838,306,1116
amazon_computers,1,6907148,101.3241,24,0.004335062,1048177116,8,0.68503440,0.55995054,235310,69518,40030,146864
amazon_computers,2,6907148,101.6591,24,0.008638051,2088598932,14,0.60719367,0.50144187,189476,52454,57094,192698
amazon_computers,3,6907148,103.1144,24,0.002119659,512513698,10,0.70234406,0.57612228,245904,72160,37388,136270
amazon_computers,4,6907148,101.5751,24,0.002003529,484434498,8,0.70293060,0.57842439,245256,70380,39168,136918
amazon_computers,5,6907148,101.0420,24,0.004006854,968819394,13,0.66143619,0.54014667,220880,64826,44722,161294
coauthor_physics,1,29380036,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_physics,2,29380036,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_physics,3,29380036,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_physics,4,29380036,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_physics,5,29380036,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
