instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,3540092,100.6449,44,0.181597135,15051282,302,0.32806231,0.37456063,1390,388,2020,5306
citeseer,2,3540092,100.2096,44,0.163542271,13554844,277,0.29540534,0.35654657,1228,390,2018,5468
citeseer,3,3540092,100.2052,44,0.170541116,14134928,265,0.31059160,0.36511424,1302,386,2022,5394
citeseer,4,3540092,100.4949,44,0.170725135,14150180,259,0.31157694,0.36511424,1308,392,2016,5388
citeseer,5,3540092,100.4222,44,0.189201269,15681534,265,0.32743363,0.36555360,1406,486,1922,5290
cora,1,1252648,100.2207,186,0.203762057,22705030,93,0.38345728,0.35600606,2114,362,1644,6436
cora,2,1252648,100.4478,187,0.187027978,20840366,98,0.36959323,0.35107995,2008,308,1698,6542
cora,3,1252648,100.4472,186,0.187931009,20940990,96,0.36707698,0.34729064,1998,338,1668,6552
cora,4,1252648,100.2601,186,0.195664839,21802764,101,0.38364665,0.36017431,2102,306,1700,6448
cora,5,1252648,100.1773,186,0.179334747,19983116,100,0.35156685,0.33743842,1896,340,1666,6654
pubmed,1,9804128,103.2204,15,0.186417194,1464953540,40,0.35185226,0.32855789,16156,4548,12970,54974
pubmed,2,9804128,103.3342,15,0.227087703,1784561430,40,0.44205965,0.37832777,21832,5812,11706,49298
pubmed,3,9804128,103.3620,15,0.188137549,1478472892,40,0.40623759,0.35915080,19434,5114,12404,51696
pubmed,4,9804128,103.3263,15,0.220743274,1734703940,40,0.46802026,0.39351142,23650,6284,11234,47480
pubmed,5,9804128,103.3818,15,0.171755068,1349731694,40,0.37027795,0.33959029,17212,4626,12892,53918
coauthor_cs,1,8541408,101.9991,17,0.202352459,5428410070,30,0.49198111,0.41670940,46260,9446,21992,86090
coauthor_cs,2,8541408,102.0609,17,0.240741843,6458263230,30,0.53507919,0.44546609,52266,10742,20696,80084
coauthor_cs,3,8541408,101.9752,17,0.225993718,6062622514,30,0.52673955,0.44446480,50636,9276,22162,81714
coauthor_cs,4,8541408,101.8747,17,0.218795517,5869519908,30,0.50238545,0.42686888,47386,8908,22530,84964
coauthor_cs,5,8541408,102.1683,17,0.210733247,5653237336,30,0.57917989,0.48007180,58602,11410,20028,73748
amazon_photo,1,2016784,101.5459,62,0.225094691,12767627140,35,0.49473400,0.41865621,67784,9220,31924,129234
amazon_photo,2,2016784,101.3692,62,0.313839314,17801323138,35,0.63475629,0.53074798,97112,11852,29292,99906
amazon_photo,3,2016784,101.4538,62,0.300599195,17050328520,35,0.58769951,0.49823230,85170,7654,33490,111848
amazon_photo,4,2016784,101.1909,62,0.259758699,14733809114,35,0.52904004,0.44924883,73672,7822,33322,123346
amazon_photo,5,2016784,101.3212,62,0.343051985,19458299100,35,0.68297293,0.55776320,113450,21756,19388,83568
amazon_computers,1,5312036,104.2639,24,0.160275570,38753114280,49,0.45167560,0.42168136,117124,19322,90226,265050
amazon_computers,2,5312036,104.3311,24,0.181105429,43789576928,49,0.49026480,0.45225148,129526,16692,92856,252648
amazon_computers,3,5312036,104.2777,24,0.151610853,36658067938,49,0.43340448,0.41152521,110672,17864,91684,271502
amazon_computers,4,5312036,100.1028,23,0.172464535,41700290530,49,0.49519833,0.45117363,132368,20064,89484,249806
amazon_computers,5,5312036,104.2958,24,0.240785950,58219761358,48,0.60654436,0.53225603,177282,25108,84440,204892
coauthor_physics,1,28757032,112.9079,6,0.296249821,72859863050,25,0.68444502,0.54526903,244570,8156,25842,217356
coauthor_physics,2,28757032,113.3512,6,0.326459537,80289659078,25,0.74131524,0.61031932,276902,8228,25770,185024
coauthor_physics,3,28757032,114.0323,6,0.242155323,59555828958,25,0.54668100,0.40971197,176514,7326,26672,285412
coauthor_physics,4,28757032,114.5157,6,0.263093430,64705359722,25,0.70314100,0.56518337,255378,9088,24910,206548
coauthor_physics,5,28757032,115.0760,6,0.298059819,73305014872,25,0.72585386,0.59226010,267692,7974,26024,194234
