instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,3678168,101.1144,41,0.604833551,50130308,339,0.70590112,0.59490334,4426,1418,990,2270
citeseer,2,3678168,100.2144,42,0.621744970,51531974,337,0.71904086,0.60874341,4558,1424,984,2138
citeseer,3,3678168,100.7038,43,0.583629156,48372828,328,0.69646906,0.58831283,4300,1352,1056,2396
citeseer,4,3678168,101.4926,43,0.622238317,51572864,332,0.72404586,0.61401582,4610,1428,980,2086
citeseer,5,3678168,101.8483,43,0.624591978,51767942,310,0.71529634,0.60215290,4550,1476,932,2146
cora,1,1296596,100.4106,182,0.694891738,77431186,61,0.82984135,0.73380068,6852,1112,894,1698
cora,2,1296596,100.4273,182,0.690959229,76992990,61,0.83617994,0.74194771,6952,1126,880,1598
cora,3,1296596,100.3237,181,0.684981744,76326924,63,0.84740024,0.76089428,7008,982,1024,1542
cora,4,1296596,100.4007,182,0.703092214,78344958,61,0.84611754,0.75293672,7170,1228,778,1380
cora,5,1296596,100.3488,182,0.680526787,75830512,60,0.82603406,0.72906404,6790,1100,906,1760
pubmed,1,9885372,101.8553,15,0.575096147,4519374614,33,0.81036417,0.69865084,57078,12662,4856,14052
pubmed,2,9885372,101.9024,15,0.574419568,4514057742,29,0.80372277,0.69120567,56046,12290,5228,15084
pubmed,3,9885372,102.1253,15,0.548437272,4309876702,32,0.74576168,0.62343200,48960,11212,6306,22170
pubmed,4,9885372,101.9423,15,0.567835225,4462314898,30,0.80202771,0.68633246,56324,13000,4518,14806
pubmed,5,9885372,101.8997,15,0.533786397,4194743272,31,0.73532713,0.61165509,47822,11118,6400,23308
coauthor_cs,1,9629620,101.9774,15,0.634725065,17027457658,17,0.87697767,0.79975334,116902,17350,14088,15448
coauthor_cs,2,9629620,102.2218,15,0.551810853,14803158810,17,0.83004099,0.73167753,107316,18914,12524,25034
coauthor_cs,3,9629620,102.1126,15,0.452537237,12139994262,23,0.78290824,0.66678878,98410,20636,10802,33940
coauthor_cs,4,9629620,101.9792,15,0.452526930,12139717744,24,0.82610825,0.72247051,107974,21080,10358,24376
coauthor_cs,5,9629620,101.9252,15,0.546246753,14653893420,23,0.84473412,0.74924903,111722,20442,10996,20628
amazon_photo,1,2127960,101.0637,62,0.000050348,2855842,5,0.90531348,0.82700851,196960,41142,2,58
amazon_photo,2,2127960,100.8939,62,-0.000000100,-5690,14,0.90519580,0.82682376,196900,41126,18,118
amazon_photo,3,2127960,100.9311,62,-0.000000011,-676,6,0.90537211,0.82710928,196980,41138,6,38
amazon_photo,4,2127960,100.7998,62,-0.000000073,-4142,9,0.90536062,0.82711768,196944,41100,44,74
amazon_photo,5,2127960,101.0085,62,0.000016684,946368,13,0.90527177,0.82696652,196912,41104,40,106
amazon_computers,1,5385992,103.2995,24,-0.000000024,-5936,14,0.87455937,0.77710170,382074,109504,44,100
amazon_computers,2,5385992,103.2110,24,-0.000000035,-8542,12,0.87446952,0.77694714,382026,109532,16,148
amazon_computers,3,5385992,103.3573,24,-0.000000052,-12656,14,0.87452787,0.77706102,382034,109484,64,140
amazon_computers,4,5385992,103.3440,24,-0.000000057,-14004,12,0.87447320,0.77696747,382004,109500,48,170
amazon_computers,5,5385992,103.2466,24,-0.000000104,-25322,14,0.87435239,0.77677224,381918,109510,38,256
coauthor_physics,1,30395820,100.1796,4,0.377826874,92922973322,21,0.92260841,0.86112791,410510,17454,16544,51416
coauthor_physics,2,30395820,117.2778,5,0.432151958,106283717900,22,0.93045510,0.87432349,416936,17336,16662,44990
coauthor_physics,3,30395820,119.9741,5,0.449324690,110507190108,25,0.91157301,0.84318565,400846,16688,17310,61080
coauthor_physics,4,30395820,104.1586,4,0.393309328,96730737688,23,0.86650854,0.77302974,365320,15954,18044,96606
coauthor_physics,5,30395820,105.2173,4,0.450388457,110768813750,24,0.91307532,0.84633533,400242,14522,19476,61684
