instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,552676,15.481452465057373,300,0.789677270,87993056,20,0.88256228,0.79992421,7936,1498,508,614
cora,2,552676,15.574110507965088,300,0.772295838,86056258,11,0.88447012,0.80295567,7962,1492,514,588
cora,3,552676,14.58207654953003,300,0.790841723,88122810,17,0.88541783,0.80541872,7936,1440,566,614
cora,4,552676,14.331302404403687,300,0.787271149,87724944,18,0.87999105,0.79670330,7868,1464,542,682
cora,5,552676,14.018436908721924,300,0.781227505,87051506,16,0.87931999,0.79556650,7862,1470,536,688
citeseer,1,922620,23.386518955230713,300,0.847234968,70221220,22,0.82492738,0.70869947,6248,2204,204,448
citeseer,2,922620,23.63112497329712,300,0.848462725,70322980,27,0.82415254,0.70826011,6224,2184,224,472
citeseer,3,922620,23.681941747665405,300,0.851527631,70577008,25,0.82374670,0.70650264,6244,2220,188,452
citeseer,4,922620,22.51414918899536,300,0.859208210,71213596,27,0.83272155,0.71968366,6352,2208,200,344
citeseer,5,922620,23.94172763824463,300,0.846683370,70175502,25,0.82916557,0.71485062,6300,2200,208,396
pubmed,1,1070772,99.45757174491882,300,0.681341999,5354304236,7,0.83757785,0.72992058,61732,14544,2974,9398
pubmed,2,1070772,100.06403541564941,262,0.665532323,5230064400,5,0.84851588,0.74634510,62976,14332,3186,8154
pubmed,3,1070772,100.29394221305847,262,0.665602450,5230615492,5,0.84175863,0.73438769,62626,15042,2476,8504
pubmed,4,1070772,100.3279504776001,261,0.673452349,5292303672,6,0.83144229,0.72114430,60968,14558,2960,10162
pubmed,5,1070772,100.0729820728302,261,0.665202749,5227474458,5,0.84361349,0.73750113,62764,14904,2614,8366
coauthor_cs,1,5842228,100.5243272781372,166,0.722661214,19386477534,11,0.91175113,0.85291963,124444,16184,15254,7906
coauthor_cs,2,5842228,100.02077007293701,166,0.706903463,18963752092,7,0.91437333,0.85543507,126424,17752,13686,5926
coauthor_cs,3,5842228,100.58424115180969,168,0.731114422,19613247584,10,0.91902096,0.86538696,125110,14808,16630,7240
coauthor_cs,4,5842228,100.11622834205627,166,0.728298210,19537698456,9,0.90230877,0.83827875,122326,16464,14974,10024
coauthor_cs,5,5842228,100.21890592575073,171,0.733048275,19665126108,9,0.92116426,0.86883044,125516,14650,16788,6834
amazon_photo,1,955540,100.1175000667572,273,0.711530192,40358802388,8,0.92678454,0.87394295,190014,23018,18126,7004
amazon_photo,2,955540,100.30919575691223,281,0.701071921,39765597362,8,0.91783334,0.85741638,189662,26602,14542,7356
amazon_photo,3,955540,100.31958866119385,283,0.685182524,38864332716,6,0.92190826,0.86411770,191024,26368,14776,5994
amazon_photo,4,955540,100.291090965271,283,0.712631506,40421270176,8,0.92679645,0.87390936,190098,23110,18034,6920
amazon_photo,5,955540,100.02410197257996,279,0.712724100,40426522230,8,0.92671681,0.87374140,190128,23180,17964,6890
amazon_computers,1,1438052,100.54017424583435,144,0.600802929,145268455962,7,0.86385589,0.77996917,343254,69274,40274,38920
amazon_computers,2,1438052,100.56356835365295,145,0.589982219,142652110852,5,0.86920115,0.78639963,348986,71844,37704,33188
amazon_computers,3,1438052,100.29040384292603,145,0.598375217,144681458102,6,0.86652255,0.78402431,344720,68746,40802,37454
amazon_computers,4,1438052,100.05668497085571,144,0.604761701,146225649476,6,0.86531874,0.78170999,344820,69984,39564,37354
amazon_computers,5,1438052,100.15903949737549,175,0.589943792,142642819482,5,0.85889116,0.77357938,338836,67998,41550,43338
coauthor_physics,1,13199700,100.3636384010315,86,0.650333569,159943437298,9,0.89525634,0.81700422,387834,16660,17338,74092
coauthor_physics,2,13199700,100.90441560745239,83,0.648090784,159391845318,9,0.88721374,0.80455876,381218,16216,17782,80708
coauthor_physics,3,13199700,100.72853469848633,86,0.649001806,159615902546,11,0.86794731,0.77502601,366660,16304,17694,95266
coauthor_physics,4,13199700,100.79281258583069,86,0.647513902,159249966564,10,0.88815503,0.80522822,383516,18182,15816,78410
coauthor_physics,5,13199700,101.03555679321289,87,0.645084945,158652587312,8,0.90250156,0.82840516,393858,17030,16968,68068
