instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,554104,31.726921796798706,300,0.789677270,87993056,20,0.88256228,0.79992421,7936,1498,508,614
cora,2,554104,39.60847568511963,300,0.772295838,86056258,11,0.88447012,0.80295567,7962,1492,514,588
cora,3,554104,35.348665952682495,300,0.791214193,88164314,17,0.88566648,0.80579765,7940,1440,566,610
cora,4,554104,36.22362661361694,300,0.788213237,87829920,18,0.88084060,0.79802956,7880,1462,544,670
cora,5,554104,36.3946475982666,300,0.781227505,87051506,16,0.87931999,0.79556650,7862,1470,536,688
citeseer,1,923528,76.05561518669128,300,0.846464965,70157400,22,0.82499009,0.70891916,6246,2200,208,450
citeseer,2,923528,91.01769018173218,300,0.848519915,70327720,27,0.82415254,0.70826011,6224,2184,224,472
citeseer,3,923528,87.29724717140198,300,0.851527631,70577008,25,0.82374670,0.70650264,6244,2220,188,452
citeseer,4,923528,85.77421236038208,300,0.859237359,71216012,27,0.83287456,0.71990334,6354,2208,200,342
citeseer,5,923528,85.16120839118958,300,0.849633053,70419980,27,0.82940944,0.71507030,6306,2204,204,390
amazon_photo,1,940724,100.93158006668091,113,0.707974411,40157114448,8,0.92394127,0.86914789,189286,23432,17712,7732
amazon_photo,2,940724,100.1005072593689,99,0.683667265,38778385478,7,0.92717050,0.87392615,191126,24134,17010,5892
amazon_photo,3,940724,100.12072110176086,103,0.675733669,38328382868,11,0.92285728,0.86976932,185522,19520,21624,11496
amazon_photo,4,940724,100.30703449249268,104,0.708866400,40207709108,8,0.92458697,0.87005484,189716,23646,17498,7302
amazon_photo,5,940724,100.25558972358704,106,0.663785228,37650653738,5,0.91990161,0.86080903,190358,26490,14654,6660
pubmed,1,1051580,100.09961867332458,132,0.671994438,5280846726,7,0.83395517,0.72488945,61244,14502,3016,9886
pubmed,2,1051580,100.47076463699341,121,0.659811051,5185103974,5,0.83967636,0.73131938,62372,15060,2458,8758
pubmed,3,1051580,100.0122652053833,123,0.682460870,5363096844,8,0.81683203,0.70302771,58700,13896,3622,12430
pubmed,4,1051580,100.31134581565857,125,0.659269362,5180847124,5,0.83969527,0.73129681,62386,15076,2442,8744
pubmed,5,1051580,100.57787919044495,127,0.670283216,5267399140,9,0.81163233,0.69632705,57996,13786,3732,13134
amazon_computers,1,1436908,100.6764223575592,55,0.575518079,139154818858,10,0.86049208,0.77728473,337744,65084,44464,44430
amazon_computers,2,1436908,101.24413228034973,49,0.552164870,133508234144,15,0.85278551,0.76705944,331760,64128,45420,50414
amazon_computers,3,1436908,100.81617045402527,51,0.574607821,138934726896,5,0.86743122,0.78724971,342258,64698,44850,39916
amazon_computers,4,1436908,101.27866554260254,52,0.580566969,140375592442,5,0.86571177,0.78184015,345780,70880,38668,36394
amazon_computers,5,1436908,100.78858757019043,53,0.547340784,132341815800,8,0.85203513,0.76552605,331958,65080,44468,50216
coauthor_cs,1,5841096,101.28194165229797,40,0.705815056,18934553914,10,0.90566456,0.84406672,122598,15788,15650,9752
coauthor_cs,2,5841096,100.09645080566406,40,0.697965818,18723986266,7,0.91333943,0.85417735,125860,17394,14044,6490
coauthor_cs,3,5841096,100.28117823600769,41,0.705922179,18937427660,9,0.91085374,0.85224803,123632,15482,15956,8718
coauthor_cs,4,5841096,101.97404623031616,42,0.714168805,19158655850,8,0.90951968,0.84961047,123802,16084,15354,8548
coauthor_cs,5,5841096,101.95000505447388,46,0.713072371,19129242350,8,0.91233332,0.85365228,124726,16346,15092,7624
coauthor_physics,1,13194376,100.41280484199524,17,0.622787134,153168650190,8,0.88591785,0.80240521,380484,16550,17448,81442
coauthor_physics,2,13194376,100.47404670715332,17,0.611844223,150477343748,5,0.90688569,0.83435768,400030,20250,13748,61896
coauthor_physics,3,13194376,101.79903554916382,18,0.628411639,154551944356,8,0.89230313,0.81254789,385110,16146,17852,76816
coauthor_physics,4,13194376,100.39239430427551,19,0.622244472,153035187436,9,0.88081662,0.79474678,376136,16000,17998,85790
coauthor_physics,5,13194376,101.7828049659729,21,0.621088991,152751007868,9,0.89971252,0.82456586,390262,15338,18660,71664
