instance,run,mem,time,it,_q,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,655356,72.4395,1000,0.7394,0.739393922,82390026,16,0.83985102,0.73929519,7216,1418,588,1334
cora,2,655356,72.4002,1000,0.7409,0.740896115,82557414,16,0.85588610,0.76411520,7394,1334,672,1156
cora,3,655356,71.7409,1000,0.7464,0.746439153,83175070,16,0.85390399,0.76070481,7382,1358,648,1168
cora,4,655356,72.7569,1000,0.7429,0.742898769,82780568,16,0.85565459,0.76373626,7392,1336,670,1158
cora,5,655356,72.8337,1000,0.7436,0.743620591,82861000,16,0.85891973,0.76790451,7458,1358,648,1092
citeseer,1,697780,92.4356,1000,0.8081,0.808052950,66973704,16,0.82724475,0.71638840,6182,2068,340,514
citeseer,2,697780,91.5693,1000,0.8050,0.805027980,66722986,16,0.80992622,0.68870826,6038,2176,232,658
citeseer,3,697780,92.1342,1000,0.8165,0.816505727,67674294,16,0.82885506,0.71594903,6262,2152,256,434
citeseer,4,697780,93.2373,1000,0.8053,0.805341194,66748946,16,0.82429732,0.71023726,6188,2130,278,508
citeseer,5,697780,92.2043,1000,0.8011,0.801109098,66398178,16,0.82236225,0.70891916,6134,2088,320,562
amazon_photo,1,1262572,100.4498,196,0.0370,0.037035139,2100675242,16,0.20833779,0.25496091,23348,3770,37374,173670
amazon_photo,2,1262572,100.2265,194,0.0070,0.006962186,394903124,16,0.34035784,0.31051133,42364,9556,31588,154654
amazon_photo,3,1262572,100.4644,195,0.0677,0.067656136,3837533070,16,0.30778064,0.30145027,36986,6336,34808,160032
amazon_photo,4,1262572,100.5124,194,0.0628,0.062817661,3563089252,16,0.29018191,0.29057532,34536,6476,34668,162482
amazon_photo,5,1262572,100.4228,197,0.0543,0.054312223,3080651124,16,0.30378943,0.30031659,36356,5976,35168,160662
amazon_computers,1,2795524,101.6753,77,0.0068,0.006801495,1644537050,16,0.25727585,0.31399043,58424,13576,95972,323750
amazon_computers,2,2795524,101.0275,76,0.0201,0.020138928,4869402094,16,0.18841618,0.28593392,40758,9706,99842,341416
amazon_computers,3,2795524,100.9125,76,-0.0158,-0.015777077,-3814747804,16,0.19415295,0.28505538,42350,11730,97818,339824
amazon_computers,4,2795524,101.2352,76,-0.0214,-0.021432661,-5182214386,16,0.34306859,0.35300027,83072,19042,90506,299102
amazon_computers,5,2795524,101.6771,78,-0.0226,-0.022582755,-5460296342,16,0.30685305,0.32557014,73406,22864,86684,308768
pubmed,1,5124872,101.4614,59,0.0450,0.045046134,353993606,16,0.32124422,0.32061637,14252,3348,14170,56878
pubmed,2,5124872,102.0109,59,0.0148,0.014802755,116326978,16,0.32792696,0.32409079,14618,3406,14112,56512
pubmed,3,5124872,101.2926,59,0.0511,0.051142851,401904456,16,0.30056218,0.30949373,13152,3234,14284,57978
pubmed,4,5124872,102.3004,59,0.0467,0.046729389,367221404,16,0.29690646,0.30674127,12976,3302,14216,58154
pubmed,5,5124872,101.8480,60,0.0229,0.022862136,179661364,16,0.28581323,0.30207111,12380,3120,14398,58750
coauthor_cs,1,4509432,102.0016,63,0.0667,0.066715086,1789732854,16,0.37078744,0.34499475,31610,6542,24896,100740
coauthor_cs,2,4509432,102.2131,63,0.0810,0.081017566,2173418478,16,0.33150092,0.32435832,27438,5750,25688,104912
coauthor_cs,3,4509432,101.6836,63,0.0849,0.084925445,2278253220,16,0.31815504,0.32163528,25922,4680,26758,106428
coauthor_cs,4,4509432,101.7415,63,0.0586,0.058643586,1573202686,16,0.50562562,0.42321782,48310,10430,21008,84040
coauthor_cs,5,4509432,101.9504,64,0.0674,0.067387307,1807766208,16,0.43964490,0.38570591,39470,7734,23704,92880
coauthor_physics,1,14531396,108.0769,14,0.0000,0.000008063,1983048,2,0.96447133,0.93138061,461894,33998,0,32
coauthor_physics,2,14531396,104.7623,13,0.0310,0.030953685,7612768384,2,0.86818508,0.77110606,373824,25412,8586,88102
coauthor_physics,3,14531396,108.4317,14,0.0000,0.000000000,0,1,0.96450592,0.93144514,461926,33998,0,0
coauthor_physics,4,14531396,107.9511,14,0.0000,0.000000000,0,1,0.96450592,0.93144514,461926,33998,0,0
coauthor_physics,5,14531396,108.3680,14,0.0000,0.000000000,0,1,0.96450592,0.93144514,461926,33998,0,0
