instance,run,mem,time,it,_q,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,608348,45.0892,1000,0.4234,0.423394775,47178514,16,0.64715213,0.53637742,4488,832,1174,4062
cora,2,608348,45.9055,1000,0.4394,0.439414642,48963594,16,0.66438161,0.55475559,4652,802,1204,3898
cora,3,608348,45.3288,1000,0.4559,0.455902323,50800802,16,0.67615157,0.56441834,4800,848,1158,3750
cora,4,608348,45.5319,1000,0.4346,0.434619344,48429258,16,0.65770661,0.54641910,4600,838,1168,3950
cora,5,608348,45.5845,1000,0.4294,0.429382132,47845680,16,0.65525180,0.54604017,4554,796,1210,3996
citeseer,1,607888,45.8954,1000,0.5767,0.576687886,47797516,14,0.72412728,0.60764499,4688,1564,844,2008
citeseer,2,607888,46.6555,1000,0.5908,0.590782291,48965700,15,0.73272171,0.61599297,4792,1592,816,1904
citeseer,3,607888,46.1845,1000,0.5877,0.587689781,48709384,15,0.73155800,0.61467487,4780,1592,816,1916
citeseer,4,607888,46.4366,1000,0.5574,0.557408015,46199546,16,0.70036329,0.58326011,4434,1532,876,2262
citeseer,5,607888,46.8507,1000,0.5433,0.543259558,45026882,16,0.70027118,0.58721441,4390,1452,956,2306
pubmed,1,714096,100.1450,667,0.4391,0.439051277,3450270372,16,0.67081666,0.54902536,40734,9582,7936,30396
pubmed,2,714096,100.0747,637,0.4298,0.429761448,3377266546,16,0.65820371,0.53894053,39354,9096,8422,31776
pubmed,3,714096,100.1719,634,0.4391,0.439117935,3450794204,16,0.67060469,0.54834852,40756,9664,7854,30374
pubmed,4,714096,100.1535,642,0.4184,0.418365497,3287711838,16,0.64670052,0.52759228,38328,9076,8442,32802
pubmed,5,714096,100.0671,639,0.4077,0.407743598,3204239980,16,0.64891605,0.53086364,38434,8892,8626,32696
coauthor_cs,1,755268,100.2026,401,0.3389,0.338941988,9092630278,16,0.59934246,0.50148973,61070,10370,21068,71280
coauthor_cs,2,755268,100.2321,423,0.3421,0.342072526,9176611684,16,0.59862986,0.49992673,61080,10636,20802,71270
coauthor_cs,3,755268,100.0692,438,0.3314,0.331380764,8889789054,16,0.59105739,0.49643442,59604,9732,21706,72746
coauthor_cs,4,755268,100.2523,441,0.3388,0.338814322,9089205446,16,0.59329653,0.49622683,60184,10346,21092,72166
coauthor_cs,5,755268,100.2676,434,0.3291,0.329083404,8828158896,16,0.58262361,0.48894913,58422,9776,21662,73928
amazon_photo,1,761968,100.1848,360,0.4857,0.485694272,27549131986,16,0.77572866,0.67239106,134938,15944,25200,62080
amazon_photo,2,761968,100.2579,361,0.4528,0.452838658,25685524148,16,0.74078802,0.63167088,125348,16052,25092,71670
amazon_photo,3,761968,100.2698,362,0.4845,0.484505878,27481724890,16,0.77632099,0.67234907,135416,16432,24712,61602
amazon_photo,4,761968,100.2442,361,0.4867,0.486673310,27604664104,16,0.78359442,0.68434091,136108,14268,26876,60910
amazon_photo,5,761968,100.2188,360,0.4911,0.491092596,27855331030,16,0.78359746,0.68419815,136172,14366,26778,60846
amazon_computers,1,935076,100.5160,183,0.3697,0.369723398,89395614632,16,0.70092875,0.59987554,230560,45136,64412,151614
amazon_computers,2,935076,100.3072,183,0.3843,0.384285429,92916575792,16,0.70364698,0.60021313,233380,47790,61758,148794
amazon_computers,3,935076,100.6614,185,0.3569,0.356904064,86296021324,16,0.69071640,0.59239164,223808,42064,67484,158366
amazon_computers,4,935076,100.5107,184,0.3528,0.352794422,85302348656,16,0.68541237,0.58635977,221576,42798,66750,160598
amazon_computers,5,935076,100.4280,184,0.3681,0.368125654,89009295430,16,0.70064146,0.60195802,229046,42598,66950,153128
coauthor_physics,1,1013024,100.2392,152,0.3568,0.356842423,87762044550,16,0.66925045,0.52711706,237262,9850,24148,224664
coauthor_physics,2,1013024,100.7677,154,0.3530,0.352988598,86814232668,16,0.66336580,0.52126132,233926,9418,24580,228000
coauthor_physics,3,1013024,100.4816,156,0.3717,0.371684242,91412250664,16,0.68017479,0.53893742,243138,9864,24134,218788
coauthor_physics,4,1013024,100.4196,168,0.3707,0.370678142,91164809896,16,0.69038622,0.54896718,249382,11134,22864,212544
coauthor_physics,5,1013024,100.3595,176,0.3642,0.364235682,89580347266,16,0.67620712,0.53381567,241410,10676,23322,220516
