instance,run,mem,time,it,_q,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,659988,38.2117,1000,0.7521,0.752066012,83802066,16,0.86750317,0.78192497,7536,1288,718,1014
cora,2,659988,56.7303,1000,0.7481,0.748148832,83365578,16,0.86692804,0.78135657,7518,1276,730,1032
cora,3,659988,56.5500,1000,0.7664,0.766411506,85400572,16,0.87682482,0.79537704,7688,1298,708,862
cora,4,659988,55.8901,1000,0.7575,0.757546984,84412806,16,0.86564763,0.77851459,7532,1320,686,1018
cora,5,659988,55.9725,1000,0.7599,0.759916777,84676870,16,0.86938541,0.78457749,7568,1292,714,982
citeseer,1,856100,79.2065,1000,0.8274,0.827357603,68573728,16,0.82868526,0.71660808,6240,2124,284,456
citeseer,2,856100,94.8505,1000,0.8216,0.821642546,68100048,16,0.81546101,0.69793497,6076,2130,278,620
citeseer,3,856100,93.8649,1000,0.8193,0.819306718,67906448,16,0.81722155,0.69969244,6112,2150,258,584
citeseer,4,856100,94.0339,1000,0.8345,0.834505454,69166162,16,0.82793281,0.71419156,6260,2166,242,436
citeseer,5,856100,94.5663,1000,0.8294,0.829385695,68741822,16,0.82984917,0.71748682,6272,2148,260,424
amazon_photo,1,820244,100.1198,422,0.1006,0.100585800,5705341094,15,0.65833521,0.51695065,110836,28862,12282,86182
amazon_photo,2,820244,100.1084,359,0.1076,0.107593607,6102831870,15,0.63577364,0.50232195,103448,24958,16186,93570
amazon_photo,3,820244,100.1472,361,0.1235,0.123500192,7005071486,15,0.51153221,0.41985707,72346,13496,27648,124672
amazon_photo,4,820244,100.1476,360,0.1819,0.181948092,10320302916,15,0.49101437,0.41681712,66994,8868,32276,130024
amazon_photo,5,820244,100.2700,362,0.1788,0.178830170,10143450846,15,0.50228623,0.41315575,70524,13270,27874,126494
pubmed,1,799940,100.1681,626,0.5509,0.550870609,4328999002,16,0.73533420,0.61443011,47482,10532,6986,23648
pubmed,2,799940,100.1701,533,0.5434,0.543389386,4270208054,16,0.73318540,0.61479108,46918,9936,7582,24212
pubmed,3,799940,100.2422,544,0.5429,0.542866733,4266100802,16,0.73368414,0.61406913,47126,10208,7310,24004
pubmed,4,799940,100.0619,545,0.5463,0.546278665,4292913360,16,0.73365851,0.61316668,47230,10392,7126,23900
pubmed,5,799940,100.2219,544,0.5596,0.559612379,4397695924,16,0.74543217,0.62656800,48468,10442,7076,22662
coauthor_cs,1,3497804,100.4101,145,0.6952,0.695179346,18649234954,16,0.88964917,0.82512760,115456,11748,19690,16894
coauthor_cs,2,3497804,100.5520,137,0.7000,0.700031232,18779394120,16,0.90185167,0.84278458,118304,11704,19734,14046
coauthor_cs,3,3497804,100.7978,138,0.6764,0.676421344,18146023242,16,0.87795159,0.80850856,112808,11822,19616,19542
coauthor_cs,4,3497804,100.7025,137,0.6929,0.692936959,18589079536,16,0.89013233,0.82593352,115492,11652,19786,16858
coauthor_cs,5,3497804,100.3794,138,0.7003,0.700256197,18785429142,16,0.88896227,0.82344250,115758,12326,19112,16592
amazon_computers,1,980684,100.2073,170,0.0887,0.088700298,21446891714,15,0.44180184,0.38847967,118998,37522,72026,263176
amazon_computers,2,980684,100.5178,171,0.0715,0.071539570,17297590266,15,0.61699474,0.52279540,189004,41482,68066,193170
amazon_computers,3,980684,100.3318,179,0.0788,0.078837357,19062126172,16,0.53943787,0.45775052,156150,40612,68936,226024
amazon_computers,4,980684,100.3243,181,0.0769,0.076872273,18586987348,15,0.43609807,0.39763932,114532,28552,80996,267642
amazon_computers,5,980684,100.2234,176,0.1237,0.123718130,29913871650,15,0.46799491,0.42319034,124752,26208,83340,257422
coauthor_physics,1,7393496,102.0821,60,0.5744,0.574443175,141278907278,16,0.83676445,0.73094264,341994,13500,20498,119932
coauthor_physics,2,7393496,101.1272,60,0.5764,0.576444338,141771074492,16,0.83591021,0.73061195,340284,11954,22044,121642
coauthor_physics,3,7393496,101.0588,55,0.4978,0.497800225,122429292884,16,0.85254964,0.75387358,352872,13006,20992,109054
coauthor_physics,4,7393496,101.1579,55,0.5314,0.531394568,130691506320,16,0.82131556,0.70896347,331708,14114,19884,130218
coauthor_physics,5,7393496,100.9891,55,0.4900,0.489988790,120508143886,16,0.80850817,0.69364257,320736,10740,23258,141190
