instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,1774600,14.026784181594849,50,0.846864035,70190476,57,0.80799565,0.68980668,5942,2070,338,754
citeseer,2,1774600,13.958909273147583,50,0.845821575,70104074,57,0.80886351,0.69112478,5950,2066,342,746
citeseer,3,1774600,13.884596109390259,50,0.831736653,68936676,57,0.80010983,0.68014060,5828,2044,364,868
citeseer,4,1774600,13.910159349441528,50,0.850357787,70480048,57,0.80833785,0.68892794,5972,2108,300,724
citeseer,5,1774600,14.02326512336731,50,0.845295483,70060470,57,0.80671123,0.68870826,5914,2052,356,782
cora,1,1378360,10.409365177154541,50,0.757326611,84388250,51,0.83669855,0.73796893,7086,1302,704,1464
cora,2,1378360,10.488064765930176,50,0.761767245,84883066,52,0.84148497,0.74516862,7140,1280,726,1410
cora,3,1378360,10.458038806915283,50,0.758080705,84472278,52,0.84334789,0.74857901,7144,1248,758,1406
cora,4,1378360,10.403216361999512,50,0.766331778,85391688,51,0.84048792,0.74232664,7166,1336,670,1384
cora,5,1378360,10.402806282043457,50,0.761505949,84853950,51,0.83826128,0.73986358,7116,1312,694,1434
pubmed,1,8327328,118.49081134796143,70,0.723076988,5682277306,138,0.78960664,0.67117137,54700,12720,4798,16430
pubmed,2,8327328,119.0887176990509,70,0.715598512,5623507946,140,0.78061841,0.65984568,53648,12672,4846,17482
pubmed,3,8327328,119.17731380462646,70,0.741167894,5824444108,134,0.79400835,0.67484884,55552,13246,4272,15578
pubmed,4,8327328,117.73617649078369,70,0.714431176,5614334468,140,0.78355744,0.66298168,54078,12824,4694,17052
pubmed,5,8327328,119.00148129463196,70,0.720028756,5658322872,140,0.79291974,0.67640556,54920,12476,5042,16210
coauthor_cs,1,8305480,123.36500692367554,70,0.692738587,18583757902,134,0.84173792,0.75523237,106612,14352,17086,25738
coauthor_cs,2,8305480,123.09248805046082,70,0.681512266,18282594916,135,0.83272939,0.74353432,104560,14216,17222,27790
coauthor_cs,3,8305480,124.1630187034607,70,0.704112505,18888880414,123,0.85184345,0.76873764,108892,14420,17018,23458
coauthor_cs,4,8305480,123.5039656162262,70,0.693920208,18615456692,131,0.84359726,0.75813857,106834,14098,17340,25516
coauthor_cs,5,8305480,123.33261036872864,70,0.690670583,18528280588,132,0.83963567,0.75319315,105826,13900,17538,26524
amazon_photo,1,5527864,59.170424699783325,50,0.716291147,40628849206,62,0.89922410,0.83170279,178826,21890,19254,18192
amazon_photo,2,5527864,59.5772967338562,50,0.719154288,40791249834,57,0.90256467,0.83671618,180114,21984,19160,16904
amazon_photo,3,5527864,59.212692975997925,50,0.715441085,40580632724,50,0.87790074,0.80032919,170958,21494,19650,26060
amazon_photo,4,5527864,58.25068521499634,50,0.712912413,40437203580,51,0.87284219,0.79320798,169032,21264,19880,27986
amazon_photo,5,5527864,58.881831645965576,50,0.717204850,40680675462,43,0.88073009,0.80475475,171686,21168,19976,25332
amazon_computers,1,8181984,109.45108580589294,60,0.627670241,151764717284,67,0.82181027,0.73023782,305886,56360,53188,76288
amazon_computers,2,8181984,107.60027599334717,60,0.627170765,151643948866,74,0.82823566,0.73878736,309674,55944,53604,72500
amazon_computers,3,8181984,107.8118736743927,60,0.627520455,151728500494,66,0.82616460,0.73708722,307206,54312,55236,74968
amazon_computers,4,8181984,108.34080576896667,60,0.626860324,151568887170,81,0.82411422,0.73418720,306212,54744,54804,75962
amazon_computers,5,8181984,108.8085618019104,60,0.629119489,152115131712,66,0.82587129,0.73614359,307680,55250,54298,74494
coauthor_physics,1,7875912,100.82412338256836,60,0.597320497,146905369816,183,0.77419106,0.64536098,301494,15442,18556,160432
coauthor_physics,2,7875912,100.76129531860352,60,0.640203598,157452066062,165,0.80966147,0.69198506,324888,15714,18284,137038
coauthor_physics,3,7875912,101.1595242023468,60,0.588398301,144711039438,184,0.76025806,0.62758407,292840,15604,18394,169086
coauthor_physics,4,7875912,100.30416703224182,60,0.624012400,153469992748,175,0.79009892,0.66601737,311728,15432,18566,150198
coauthor_physics,5,7875912,100.398930311203,60,0.569710611,140114977484,185,0.74680717,0.61143240,284190,14964,19034,177736
