instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,1383108,41.41574811935425,50,0.757326611,84388250,51,0.83669855,0.73796893,7086,1302,704,1464
cora,2,1383108,41.49931979179382,50,0.761767245,84883066,52,0.84148497,0.74516862,7140,1280,726,1410
cora,3,1383108,42.04826307296753,50,0.758080705,84472278,52,0.84334789,0.74857901,7144,1248,758,1406
cora,4,1383108,44.359596490859985,50,0.766331778,85391688,51,0.84048792,0.74232664,7166,1336,670,1384
cora,5,1383108,43.07979702949524,50,0.761505949,84853950,51,0.83826128,0.73986358,7116,1312,694,1434
citeseer,1,1760788,55.24928069114685,50,0.846864035,70190476,57,0.80799565,0.68980668,5942,2070,338,754
citeseer,2,1760788,55.68743538856506,50,0.845821575,70104074,57,0.80886351,0.69112478,5950,2066,342,746
citeseer,3,1760788,58.2062885761261,50,0.831736653,68936676,57,0.80010983,0.68014060,5828,2044,364,868
citeseer,4,1760788,56.147162437438965,50,0.850357787,70480048,57,0.80833785,0.68892794,5972,2108,300,724
citeseer,5,1760788,53.41441059112549,50,0.845295483,70060470,57,0.80671123,0.68870826,5914,2052,356,782
pubmed,1,8306824,103.52750849723816,10,0.597977144,4699184196,140,0.69759090,0.57066149,43898,10828,6690,27232
pubmed,2,8306824,108.51715970039368,10,0.608417188,4781226948,140,0.70685407,0.58122011,44758,10752,6766,26372
pubmed,3,8306824,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
pubmed,4,8306824,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
pubmed,5,8306824,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
amazon_photo,1,5479296,108.83819890022278,10,0.674280325,38245947554,66,0.86372070,0.78227425,164322,19158,21986,32696
amazon_photo,2,5479296,112.18149542808533,10,0.681717315,38667782120,70,0.85413675,0.76797306,161794,20036,21108,35224
amazon_photo,3,5479296,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
amazon_photo,4,5479296,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
amazon_photo,5,5479296,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_cs,1,8273592,107.96591973304749,10,0.569109234,15267213958,135,0.73837809,0.63482062,84404,11866,19572,47946
coauthor_cs,2,8273592,112.79085898399353,10,0.564569579,15145430876,135,0.73305780,0.62853200,83540,12032,19406,48810
coauthor_cs,3,8273592,101.31030201911926,10,0.580094037,15561897888,135,0.74393082,0.63987594,85680,12314,19124,46670
coauthor_cs,4,8273592,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_cs,5,8273592,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_physics,1,8072436,113.7461040019989,10,0.495701776,121913199248,185,0.66820196,0.52238649,238504,13438,20560,223422
coauthor_physics,2,8072436,118.54495739936829,10,0.490828072,120714557380,185,0.66344417,0.51759544,235800,13110,20888,226126
coauthor_physics,3,8072436,104.90818762779236,10,0.502216777,123515502540,185,0.67376397,0.52803252,241698,13832,20166,220228
coauthor_physics,4,8072436,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
coauthor_physics,5,8072436,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle,tle
amazon_computers,1,7332540,181.33828902244568,10,0.579623327,140147428932,92,0.78863855,0.69394495,280764,49084,60464,101410
amazon_computers,2,7332540,156.80022501945496,10,0.575221097,139083011280,98,0.79471739,0.70063979,284934,49962,59586,97240
amazon_computers,3,7332540,133.14646458625793,10,0.579552026,140130188930,99,0.78929102,0.69329825,282462,51100,58448,99712
amazon_computers,4,7332540,113.06441497802734,10,0.582891319,140937598206,103,0.79690794,0.70218131,287314,51584,57964,94860
amazon_computers,5,7332540,107.55985116958618,10,0.581385809,140573580324,95,0.79053729,0.69338366,284512,53108,56440,97662
