instance,run,mem,time,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,3660,0.001,0.406356412,45279944,346,0.73133342,0.61481622,5534,1050,956,3016
cora,2,3660,0.000,0.392085082,43689702,358,0.70911057,0.59226980,5246,1000,1006,3304
cora,3,3660,0.000,0.408603204,45530302,362,0.68871809,0.57029178,5018,1004,1002,3532
cora,4,3660,0.000,0.394563752,43965898,343,0.73887009,0.61993179,5676,1138,868,2874
cora,5,3660,0.000,0.382909026,42667222,333,0.73146450,0.61159530,5584,1134,872,2966
citeseer,1,3416,0.000,0.641964602,53207834,762,0.74128606,0.62170475,4934,1682,726,1762
citeseer,2,3416,0.000,0.659653455,54673936,773,0.75564742,0.63642355,5118,1732,676,1578
citeseer,3,3416,0.000,0.679413908,56311738,760,0.77113342,0.65443761,5300,1750,658,1396
citeseer,4,3416,0.000,0.665201095,55133740,761,0.76418700,0.64762742,5198,1710,698,1498
citeseer,5,3416,0.000,0.676251057,56049592,749,0.76533450,0.64784710,5228,1738,670,1468
amazon_photo,1,5284,0.003,0.376823990,21373885650,711,0.74360497,0.62291214,130232,23022,18122,66786
amazon_photo,2,5284,0.004,0.390001662,22121338188,679,0.75624654,0.63740647,133960,23298,17846,63058
amazon_photo,3,5284,0.003,0.364269117,20661758954,660,0.72325347,0.59860935,124916,23494,17650,72102
amazon_photo,4,5284,0.003,0.370302595,21003984706,642,0.73605526,0.61363274,128304,23304,17840,68714
amazon_photo,5,5284,0.003,0.386779737,21938586950,680,0.74990048,0.63067156,131870,22812,18332,65148
coauthor_cs,1,5216,0.002,0.277247200,7437574508,1813,0.52881370,0.44088700,51388,10614,20824,80962
coauthor_cs,2,5216,0.002,0.297110976,7970450256,1794,0.54579765,0.45334213,53796,10982,20456,78554
coauthor_cs,3,5216,0.002,0.310512508,8329966580,1791,0.56412725,0.46931399,56248,10818,20620,76102
coauthor_cs,4,5216,0.003,0.294668115,7904916840,1762,0.54499660,0.45293917,53662,10914,20524,78688
coauthor_cs,5,5216,0.003,0.303489150,8141554414,1746,0.55145745,0.45753047,54618,11118,20320,77732
pubmed,1,4772,0.001,0.312121831,2452799396,4188,0.56997465,0.46426315,31474,7836,9682,39656
pubmed,2,4772,0.001,0.338906935,2663289278,3953,0.59310026,0.48296634,33404,8108,9410,37726
pubmed,3,4772,0.001,0.349299223,2744956734,3866,0.60166238,0.48966700,34166,8276,9242,36964
pubmed,4,4772,0.002,0.361232803,2838736390,4329,0.61545976,0.50268478,35280,8236,9282,35850
pubmed,5,4772,0.001,0.349743193,2748445662,4026,0.59984506,0.48723039,34070,8396,9122,37060
amazon_computers,1,7208,0.007,0.173805132,42024434230,1346,0.53075877,0.45666454,151098,36094,73454,231076
amazon_computers,2,7208,0.008,0.163252552,39472920486,1252,0.51966062,0.44943281,146444,34996,74552,235730
amazon_computers,3,7208,0.006,0.212171765,51301122518,1305,0.55938193,0.47459744,163994,40172,69376,218180
amazon_computers,4,7208,0.005,0.170086596,41125327438,1263,0.52425413,0.45266228,148290,35254,74294,233884
amazon_computers,5,7208,0.006,0.172974720,41823648566,1265,0.52714186,0.45568838,149188,34664,74884,232986
coauthor_physics,1,8752,0.009,0.247531676,60878092418,2335,0.46985394,0.34230648,144536,8776,25222,317390
coauthor_physics,2,8752,0.009,0.245969368,60493857368,2242,0.46632526,0.33974964,143056,8564,25434,318870
coauthor_physics,3,8752,0.007,0.246798224,60697706750,2283,0.46975818,0.34260895,144414,8504,25494,317512
coauthor_physics,4,8752,0.007,0.241653502,59432410756,2365,0.46174499,0.33542236,141366,9020,24978,320560
coauthor_physics,5,8752,0.007,0.243087008,59784968194,2325,0.46509230,0.33891887,142528,8448,25550,319398
