instance,run,mem,time,me,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,24904,0.0718,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,2,24904,0.0706,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,3,24904,0.0717,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,4,24904,0.0700,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,5,24904,0.0713,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
cora,1,23212,0.0576,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,2,23212,0.0597,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,3,23212,0.0585,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,4,23212,0.0592,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,5,23212,0.0611,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
pubmed,1,75012,0.5868,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,2,75012,0.5840,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,3,75012,0.5602,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,4,75012,0.5842,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,5,75012,0.5634,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
coauthor_cs,1,86168,0.9285,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,2,86168,0.9089,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,3,86168,0.9502,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,4,86168,0.9092,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,5,86168,0.9232,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
amazon_photo,1,75116,0.3761,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,2,75116,0.3799,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,3,75116,0.3735,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,4,75116,0.4071,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,5,75116,0.3787,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_computers,1,131932,0.9469,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,2,131932,0.9856,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,3,131932,0.9744,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,4,131932,0.9162,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,5,131932,0.9328,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
coauthor_physics,1,163196,1.9998,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,2,163196,2.0196,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,3,163196,1.9405,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,4,163196,1.9705,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,5,163196,2.0033,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
