instance,run,mem,time,me,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,22580,0.0844,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,2,22580,0.0872,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,3,22580,0.0853,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,4,22580,0.0857,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
cora,5,22580,0.0883,6.0559998822,0.796185173,88718226,90,0.88377217,0.80011368,8022,1582,424,528
citeseer,1,24772,0.1081,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,2,24772,0.1081,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,3,24772,0.1050,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,4,24772,0.1091,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
citeseer,5,24772,0.1067,4.7019069679,0.853654972,70753328,405,0.84053113,0.72825132,6520,2298,110,176
amazon_photo,1,67768,0.5212,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,2,67768,0.5217,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,3,67768,0.5237,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,4,67768,0.5397,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
amazon_photo,5,67768,0.5177,9.2047569411,0.597620743,33897728794,25,0.90631446,0.83065308,195086,38400,2744,1932
pubmed,1,71624,0.8645,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,2,71624,0.8959,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,3,71624,0.8836,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,4,71624,0.8987,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
pubmed,5,71624,0.8996,8.2398759245,0.730840118,5743283618,22,0.86432809,0.76728183,65714,15214,2304,5416
coauthor_cs,1,79724,1.3197,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,2,79724,1.3548,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,3,79724,1.3668,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,4,79724,1.3073,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
coauthor_cs,5,79724,1.3094,9.4226687331,0.688317158,18465146406,9,0.90220155,0.83466432,124908,19638,11800,7442
amazon_computers,1,120184,1.1922,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,2,120184,1.1993,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,3,120184,1.2053,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,4,120184,1.1614,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
amazon_computers,5,120184,1.1440,10.5261311205,0.450419050,108907058714,37,0.88369751,0.79987879,373850,90080,19468,8324
coauthor_physics,1,161564,2.8648,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,2,161564,2.7393,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,3,161564,2.5577,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,4,161564,2.5956,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
coauthor_physics,5,161564,2.5657,10.7176544407,0.591980033,145591932666,14,0.92856173,0.87062937,416966,19198,14800,44960
