instance,run,mem,time,_q,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,22480,0.0126,0.8930042869,0.893004286,74014710,423,0.82578443,0.70847979,6290,2248,160,406
citeseer,2,22480,0.0124,0.8928520479,0.892852047,74002092,424,0.83300641,0.71946397,6370,2228,180,326
citeseer,3,22480,0.0122,0.8924940243,0.892494024,73972418,423,0.82643542,0.70979789,6290,2236,172,406
citeseer,4,22480,0.0122,0.8907225112,0.890722511,73825590,423,0.82287677,0.70540422,6230,2216,192,466
citeseer,5,22480,0.0120,0.8893114587,0.889311458,73708638,425,0.82459837,0.70738137,6262,2230,178,434
cora,1,22248,0.0107,0.8230929117,0.823092911,91716532,103,0.87933148,0.79480864,7892,1508,498,658
cora,2,22248,0.0104,0.8232306315,0.823230631,91731878,105,0.87974119,0.79575597,7886,1492,514,664
cora,3,22248,0.0103,0.8228361566,0.822836156,91687922,102,0.87511171,0.78817734,7834,1520,486,716
cora,4,22248,0.0105,0.8220684579,0.822068457,91602378,106,0.87985708,0.79613490,7880,1482,524,670
cora,5,22248,0.0103,0.8195284939,0.819528493,91319352,107,0.87574363,0.79026146,7802,1466,540,748
pubmed,1,28312,0.0623,0.7820050563,0.782005056,6145361636,46,0.84431421,0.73989261,62524,14452,3066,8606
pubmed,2,28312,0.0609,0.7819333869,0.781933386,6144798424,38,0.83798563,0.73129681,61602,14292,3226,9528
pubmed,3,28312,0.0600,0.7817734219,0.781773421,6143541344,40,0.83934702,0.73289866,61854,14402,3116,9276
pubmed,4,28312,0.0610,0.7836504809,0.783650480,6158292152,41,0.83609055,0.72818338,61456,14422,3096,9674
pubmed,5,28312,0.0593,0.7809427531,0.780942753,6137013560,47,0.84061515,0.73531270,61876,14210,3308,9254
coauthor_cs,1,34324,0.0939,0.7496067237,0.749606723,20109331478,30,0.89258065,0.82345471,120136,16702,14736,12214
coauthor_cs,2,34324,0.0933,0.7531832474,0.753183247,20205277122,31,0.90068757,0.83632501,121564,16022,15416,10786
coauthor_cs,3,34324,0.0898,0.7525299065,0.752529906,20187750268,34,0.89840334,0.83286932,121032,16056,15382,11318
coauthor_cs,4,34324,0.0908,0.7526100449,0.752610044,20189900102,34,0.90165734,0.83813222,121538,15700,15738,10812
coauthor_cs,5,34324,0.0919,0.7536741976,0.753674197,20218447602,36,0.90555408,0.84401788,122478,15676,15762,9872
amazon_photo,1,40476,0.0541,0.7393938439,0.739393843,41939260436,36,0.92222418,0.86661180,188344,23094,18050,8674
amazon_photo,2,40476,0.0543,0.7389707981,0.738970798,41915264800,36,0.92292243,0.86786305,188410,22862,18282,8608
amazon_photo,3,40476,0.0562,0.7379802851,0.737980285,41859081770,36,0.92418121,0.86951739,189398,23456,17688,7620
amazon_photo,4,40476,0.0525,0.7379298500,0.737929849,41856221034,36,0.92396291,0.86916469,189320,23462,17682,7698
amazon_photo,5,40476,0.0534,0.7386512764,0.738651276,41897141160,36,0.92240129,0.86704848,188192,22838,18306,8826
amazon_computers,1,60876,0.1303,0.6403215466,0.640321546,154823683102,49,0.83523456,0.74650311,315940,58416,51132,66234
amazon_computers,2,60876,0.1413,0.6410053106,0.641005310,154989010764,48,0.83479648,0.74557982,316084,59014,50534,66090
amazon_computers,3,60876,0.1270,0.6400986928,0.640098692,154769799164,49,0.83548901,0.74609230,317038,59716,49832,65136
amazon_computers,4,60876,0.1255,0.6405257069,0.640525706,154873047124,48,0.84032215,0.75259191,320114,59596,49952,62060
amazon_computers,5,60876,0.1379,0.6404861683,0.640486168,154863487068,52,0.83689034,0.74904926,316568,57792,51756,65606
coauthor_physics,1,61460,0.2604,0.6843767640,0.684376763,168316041386,29,0.86384593,0.76763778,365558,18866,15132,96368
coauthor_physics,2,61460,0.2445,0.6892847238,0.689284723,169523108034,28,0.87579305,0.78643099,373404,17392,16606,88522
coauthor_physics,3,61460,0.2473,0.6839532408,0.683953240,168211879838,27,0.87565773,0.78557198,374440,18854,15144,87486
coauthor_physics,4,61460,0.2354,0.6864104094,0.686410409,168816197380,28,0.85981691,0.76242731,361320,17212,16786,100606
coauthor_physics,5,61460,0.2311,0.6821006361,0.682100636,167756249096,28,0.86469152,0.76960583,365084,17416,16582,96842
