instance,run,mem,time,_q,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,22704,0.0101,0.8905768356,0.890576835,73813516,422,0.83062827,0.71572935,6346,2238,170,350
citeseer,2,22704,0.0100,0.8881615219,0.888161521,73613328,422,0.81995776,0.70035149,6212,2244,164,484
citeseer,3,22704,0.0102,0.8881208380,0.888120837,73609956,421,0.82751378,0.71133568,6304,2236,172,392
citeseer,4,22704,0.0099,0.8907092153,0.890709215,73824488,423,0.82802881,0.71155536,6322,2252,156,374
citeseer,5,22704,0.0099,0.8880169081,0.888016908,73601342,420,0.83196025,0.71770650,6362,2236,172,334
cora,1,21368,0.0114,0.8156519853,0.815651985,90887396,102,0.87421384,0.78779841,7784,1474,532,766
cora,2,21368,0.0105,0.8149211711,0.814921171,90805962,105,0.87868926,0.79518757,7830,1442,564,720
cora,3,21368,0.0111,0.8157606284,0.815760628,90899502,107,0.87822382,0.79424024,7832,1454,552,718
cora,4,21368,0.0107,0.8155216424,0.815521642,90872872,105,0.87963274,0.79632437,7856,1456,550,694
cora,5,21368,0.0100,0.8148612047,0.814861204,90799280,104,0.87421242,0.78817734,7770,1456,550,780
pubmed,1,28020,0.0898,0.7682370327,0.768237032,6037166064,36,0.83267886,0.72409981,60858,14186,3332,10272
pubmed,2,28020,0.1064,0.7718039000,0.771803899,6065196176,41,0.83867990,0.73190597,61778,14414,3104,9352
pubmed,3,28020,0.1327,0.7699321099,0.769932109,6050486774,45,0.83873423,0.73233463,61704,14302,3216,9426
pubmed,4,28020,0.0862,0.7713297946,0.771329794,6061470434,37,0.83853663,0.73244743,61588,14176,3342,9542
pubmed,5,28020,0.1285,0.7685739813,0.768573981,6039813964,39,0.83716493,0.73041693,61432,14200,3318,9698
amazon_photo,1,39932,0.1120,0.7375852596,0.737585259,41836675478,35,0.91956004,0.86206028,187776,23610,17534,9242
amazon_photo,2,39932,0.1374,0.7363364152,0.736336415,41765839602,35,0.92245508,0.86660340,188964,23716,17428,8054
amazon_photo,3,39932,0.0933,0.7311001283,0.731100128,41468831448,35,0.91656439,0.85727362,186706,23680,17464,10312
amazon_photo,4,39932,0.1283,0.7378825469,0.737882546,41853537952,35,0.92210220,0.86670418,187894,22622,18522,9124
amazon_photo,5,39932,0.1776,0.7376868354,0.737686835,41842436974,34,0.92542576,0.87140686,190026,23634,17510,6992
coauthor_cs,1,33536,0.3240,0.7368560312,0.736856031,19767274912,30,0.88246715,0.80854519,117722,16730,14708,14628
coauthor_cs,2,33536,0.2993,0.7381389569,0.738138956,19801691328,31,0.88536931,0.81219625,118790,17200,14238,13560
coauthor_cs,3,33536,0.1925,0.7350825287,0.735082528,19719698032,25,0.88290424,0.80944880,117662,16522,14916,14688
coauthor_cs,4,33536,0.1822,0.7385111213,0.738511121,19811675200,27,0.87983512,0.80350209,117824,17658,13780,14526
coauthor_cs,5,33536,0.2112,0.7377304339,0.737730433,19790732082,30,0.87796263,0.80087674,117316,17580,13858,15034
amazon_computers,1,59844,0.3148,0.6375941881,0.637594188,154164233670,51,0.82955648,0.73715229,314528,61602,47946,67646
amazon_computers,2,59844,0.3930,0.6380091271,0.638009127,154264561988,49,0.83783329,0.74896385,318876,60142,49406,63298
amazon_computers,3,59844,0.3976,0.6385697594,0.638569759,154400117564,50,0.83530545,0.74621026,316468,59088,50460,65706
amazon_computers,4,59844,0.2999,0.6293922667,0.629392266,152181086776,49,0.84217208,0.75022065,327690,68338,41210,54484
amazon_computers,5,59844,0.2781,0.6360026663,0.636002666,153779418764,50,0.83616788,0.74587267,318886,61672,47876,63288
coauthor_physics,1,60076,0.7571,0.6700618420,0.670061841,164795420682,22,0.86441223,0.76883555,365432,18146,15852,96494
coauthor_physics,2,60076,1.2474,0.6659784428,0.665978442,163791146986,23,0.85235097,0.75083682,356662,18302,15696,105264
coauthor_physics,3,60076,0.7737,0.6678856615,0.667885661,164260209528,23,0.85121716,0.74888088,356248,18858,15140,105678
coauthor_physics,4,60076,0.6424,0.6706080166,0.670608016,164929747198,23,0.85170175,0.74986087,356220,18344,15654,105706
coauthor_physics,5,60076,1.1171,0.6631263451,0.663126345,163089700326,23,0.85263772,0.75139739,356672,18034,15964,105254
