instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,871936,58.279661893844604,100,0.749197301,83482408,16,0.86221294,0.77491474,7434,1260,746,1116
cora,2,871936,59.43386936187744,100,0.745144214,83030776,16,0.85671086,0.76657825,7366,1280,726,1184
cora,3,871936,58.989136934280396,100,0.759883896,84673206,16,0.85911761,0.76828344,7458,1354,652,1092
cora,4,871936,58.97005772590637,100,0.746462846,83177710,16,0.85604740,0.76525199,7368,1296,710,1182
cora,5,871936,59.335773944854736,100,0.753633376,83976716,16,0.85552211,0.76354680,7390,1336,670,1160
citeseer,1,1022196,69.2347960472107,100,0.826668051,68516576,16,0.82051282,0.70474517,6144,2136,272,552
citeseer,2,1022196,70.71582794189453,100,0.815190328,67565270,16,0.82411386,0.71221441,6138,2062,346,558
citeseer,3,1022196,70.85870838165283,100,0.824843789,68365376,16,0.82533743,0.71287346,6176,2094,314,520
citeseer,4,1022196,69.54160523414612,100,0.803318675,66581314,16,0.82511452,0.71485062,6124,2024,384,572
citeseer,5,1022196,74.1477599143982,100,0.836468128,69328834,16,0.82443559,0.70957821,6208,2156,252,488
pubmed,1,2224480,101.9199275970459,8,0.692727510,5443776908,16,0.80472594,0.69199531,56260,12434,5084,14870
pubmed,2,2224480,101.29501080513,7,0.682565156,5363916378,16,0.80216070,0.68931053,55836,12248,5270,15294
pubmed,3,2224480,102.46020245552063,7,0.687329250,5401354858,16,0.80348006,0.69066420,56058,12350,5168,15072
pubmed,4,2224480,101.71152782440186,7,0.686710540,5396492742,16,0.80424586,0.69210811,56068,12232,5286,15062
pubmed,5,2224480,102.14148259162903,7,0.684156665,5376423200,16,0.80170447,0.68818247,55878,12390,5128,15252
coauthor_cs,1,6157384,107.20345783233643,3,0.664835460,17835214426,16,0.88788775,0.82496886,113520,9838,21600,18830
coauthor_cs,2,6157384,108.79830551147461,3,0.651123813,17467378800,16,0.87174758,0.80300144,109658,9574,21864,22692
coauthor_cs,3,6157384,108.60339856147766,3,0.653049833,17519047206,16,0.87384713,0.80541920,110380,9900,21538,21970
coauthor_cs,4,6157384,105.76451635360718,3,0.646748107,17349993880,16,0.87221560,0.80372188,109716,9514,21924,22634
coauthor_cs,5,6157384,107.43875050544739,3,0.652072261,17492822348,16,0.87365895,0.80587100,109936,9382,22056,22414
amazon_photo,1,1612824,100.87119340896606,17,0.606674941,34411293210,16,0.83779134,0.75061513,153382,15758,25386,43636
amazon_photo,2,1612824,101.2390022277832,18,0.603639378,34239112630,16,0.84182988,0.75782031,153490,14150,26994,43528
amazon_photo,3,1612824,101.85432457923889,18,0.627199418,35575464916,16,0.85979792,0.78233303,158956,13778,27366,38062
amazon_photo,4,1612824,102.09777331352234,18,0.615810546,34929475166,16,0.84887533,0.76698214,155862,14340,26804,41156
amazon_photo,5,1612824,101.1633448600769,18,0.611036557,34658689074,16,0.84762160,0.76561332,155258,14062,27082,41760
amazon_computers,1,2680760,104.19483232498169,7,0.521673844,126135792868,16,0.84454888,0.76617682,312326,45128,64420,69848
amazon_computers,2,2680760,102.57164335250854,7,0.525167235,126980461648,16,0.83882434,0.75581324,312452,50350,59198,69722
amazon_computers,3,2680760,102.17513799667358,7,0.519928068,125713680766,16,0.83856219,0.75958367,307032,43076,66472,75142
amazon_computers,4,2680760,102.8194088935852,7,0.537575535,129980671020,16,0.84608627,0.76554639,316872,49984,59564,65302
amazon_computers,5,2680760,103.77592086791992,7,0.531718964,128564607722,16,0.84729799,0.77263169,310178,39806,69742,71996
coauthor_physics,1,15553696,115.48294687271118,1,0.581628222,143046001998,16,0.83800303,0.73373743,341534,11654,22344,120392
coauthor_physics,2,15553696,119.09522676467896,1,0.583248698,143444542870,16,0.84482170,0.74335584,346458,11808,22190,115468
coauthor_physics,3,15553696,118.94948124885559,1,0.573367612,141014382542,16,0.81483392,0.70184141,325342,11280,22718,136584
coauthor_physics,4,15553696,118.74427437782288,1,0.577896842,142128304032,16,0.83416632,0.72862777,338478,11132,22866,123448
coauthor_physics,5,15553696,118.69272255897522,1,0.578909094,142377257942,16,0.85150310,0.75355498,350408,10700,23298,111518
