instance,run,mem,time,it,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,858564,73.4493465423584,1000,0.697828485,57837990,5,0.84515698,0.74538664,6326,1948,460,370
citeseer,2,858564,74.2002182006836,1000,0.697970831,57849788,5,0.85098407,0.75549209,6356,1886,522,340
citeseer,3,858564,74.85985922813416,1000,0.701776252,58165192,5,0.84550674,0.74582601,6332,1950,458,364
citeseer,4,858564,74.20204138755798,1000,0.696942922,57764592,5,0.84572193,0.74648506,6326,1938,470,370
citeseer,5,858564,74.05397248268127,1000,0.705243291,58452550,6,0.84456929,0.74472759,6314,1942,466,382
cora,1,629780,37.633848667144775,1000,0.681292871,75915876,6,0.89155264,0.81830239,7884,1252,754,666
cora,2,629780,37.692819118499756,1000,0.662666629,73840370,7,0.87193585,0.78817734,7612,1298,708,938
cora,3,629780,31.456790685653687,1000,0.685967357,76436750,6,0.88688801,0.80958696,7880,1340,666,670
cora,4,629780,31.698986530303955,1000,0.686158438,76458042,6,0.88630462,0.80920803,7850,1314,692,700
cora,5,629780,31.59706997871399,1000,0.684332201,76254546,6,0.88570461,0.80807124,7850,1326,680,700
pubmed,1,9762112,100.61732029914856,57,0.203424867,1598607792,16,0.77809349,0.65993593,52852,11868,5650,18278
pubmed,2,9762112,102.04764699935913,58,0.218521858,1717247010,16,0.76148849,0.63805162,51220,12176,5342,19910
pubmed,3,9762112,101.26801681518555,57,0.104893254,824300274,16,0.80088077,0.68172999,56740,13824,3694,14390
pubmed,4,9762112,101.60392808914185,57,0.214106780,1682551266,16,0.66412176,0.54541558,39840,9008,8510,31290
pubmed,5,9762112,101.45062136650085,56,0.195323643,1534944586,16,0.76762195,0.64254129,52338,12896,4622,18792
coauthor_cs,1,9823072,101.56775856018066,45,0.250008622,6706858558,13,0.79824520,0.68664371,101532,20506,10932,30818
coauthor_cs,2,9823072,102.72108697891235,44,0.206919636,5550931476,16,0.76081019,0.63964393,93868,20540,10898,38482
coauthor_cs,3,9823072,101.28381872177124,43,0.223872253,6005710998,14,0.79301445,0.67682614,101398,21980,9458,30952
coauthor_cs,4,9823072,101.95423412322998,43,0.261922319,7026461452,14,0.81844434,0.71210345,106284,21088,10350,26066
coauthor_cs,5,9823072,101.7726526260376,44,0.251015711,6733875240,12,0.77193782,0.65798471,94804,18472,12966,37546
amazon_photo,1,1952156,100.47230339050293,317,0.401815388,22791426212,11,0.86689085,0.77662264,173236,29418,11726,23782
amazon_photo,2,1952156,100.29141640663147,314,0.496071156,28137720674,10,0.87406608,0.79235142,171622,24058,17086,25396
amazon_photo,3,1952156,100.36343383789062,319,0.500933750,28413532508,9,0.82588759,0.72354112,156158,24982,16162,40860
amazon_photo,4,1952156,100.29052925109863,317,0.426557024,24194799960,11,0.83158494,0.74168843,151884,16386,24758,45134
amazon_photo,5,1952156,100.38868355751038,319,0.417256442,23667260334,10,0.89497087,0.82088662,181748,27388,13756,15270
amazon_computers,1,5066420,100.94701719284058,132,0.002441509,590333796,14,0.86457896,0.76267484,372522,107046,2502,9652
amazon_computers,2,5066420,100.8402452468872,127,0.000324465,78452756,11,0.87222592,0.77364446,379898,109028,520,2276
amazon_computers,3,5066420,100.67283797264099,123,0.141568326,34229879944,14,0.67810787,0.55920622,228304,62878,46670,153870
amazon_computers,4,5066420,100.89116287231445,129,0.023698756,5730134820,14,0.82714858,0.70939271,341906,102630,6918,40268
amazon_computers,5,5066420,100.57757139205933,127,0.052968083,12807180646,15,0.82821751,0.71086915,342728,102726,6822,39446ls
coauthor_physics,1,30385532,102.84772396087646,16,0.242701158,59690072008,16,0.80874589,0.68650035,328718,22264,11734,133208
coauthor_physics,2,30385532,105.90811800956726,16,0.198874404,48911293154,16,0.84523617,0.73778240,355104,23218,10780,106822
coauthor_physics,3,30385532,103.5774335861206,16,0.318613062,78359892168,16,0.83056361,0.71706552,343904,22292,11706,118022
coauthor_physics,4,30385532,106.92913389205933,16,0.067669219,16642609500,16,0.90631447,0.83078859,405902,27892,6106,56024
coauthor_physics,5,30385532,106.78606796264648,16,0.152025208,37389173158,16,0.82774658,0.71202039,343144,24034,9964,118782
