instance,run,mem,time,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,19788,4.40943,0.894192542,74113196,425,0.83091408,0.71594903,6354,2244,164,342
citeseer,2,19964,1.76361,0.894192542,74113196,425,0.83065254,0.71550967,6352,2246,162,344
citeseer,3,20508,5.25538,0.894192542,74113196,425,0.83065254,0.71550967,6352,2246,162,344
citeseer,4,20208,3.75642,0.894192542,74113196,425,0.83091408,0.71594903,6354,2244,164,342
citeseer,5,20592,4.66725,0.894192542,74113196,425,0.83065254,0.71550967,6352,2246,162,344
cora,1,21336,41.9743,0.825482932,91982850,105,0.87711864,0.79120879,7866,1520,486,684
cora,2,19848,68.5952,0.825492104,91983872,105,0.87711864,0.79120879,7866,1520,486,684
cora,3,21288,98.4994,0.825492104,91983872,105,0.87711864,0.79120879,7866,1520,486,684
cora,4,20892,36.5057,0.825492104,91983872,105,0.87711864,0.79120879,7866,1520,486,684
cora,5,20432,47.3544,0.825482932,91982850,105,0.87711864,0.79120879,7866,1520,486,684
pubmed,1,42272,96.0973,0.789570394,6204813604,40,0.83802817,0.73120657,61642,14340,3178,9488
pubmed,2,42992,94.1703,0.789473833,6204054780,39,0.83712518,0.72978522,61558,14382,3136,9572
pubmed,3,43056,100.037,0.789650773,6205445260,42,0.83553016,0.72721325,61424,14476,3042,9706
pubmed,4,42324,83.7877,0.789602288,6205064242,40,0.83730105,0.73016876,61550,14340,3178,9580
pubmed,5,44200,94.3892,0.789603649,6205074938,39,0.83775843,0.73089071,61592,14318,3200,9538
coauthor_cs,1,57184,95.4057,0.759156489,20365518350,29,0.91355931,0.85685154,123896,14992,16446,8454
coauthor_cs,2,57172,98.2497,0.759196315,20366586744,27,0.91297424,0.85586246,123834,15092,16346,8516
coauthor_cs,3,58228,92.9007,0.759157688,20365550510,35,0.91348112,0.85683933,123784,14882,16556,8566
coauthor_cs,4,57956,93.8691,0.759131150,20364838596,32,0.91185913,0.85416514,123556,15092,16346,8794
coauthor_cs,5,58492,84.704,0.759191510,20366457834,35,0.91346402,0.85677827,123810,14918,16520,8540
amazon_photo,1,58796,10.9226,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_photo,2,59832,8.43065,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_photo,3,57012,2.92896,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_photo,4,57504,8.83049,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_photo,5,57292,14.7393,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_computers,1,114244,90.9772,0.641670402,155149823748,49,0.83905065,0.75115207,318950,59140,50408,63224
amazon_computers,2,109956,99.1698,0.641661022,155147555716,49,0.83886192,0.75087143,318864,59192,50356,63310
amazon_computers,3,113768,90.5349,0.641638665,155142149894,48,0.83868219,0.75049316,318924,59438,50110,63250
amazon_computers,4,114900,88.0236,0.641643104,155143223178,49,0.83861365,0.75037928,318908,59478,50070,63266
amazon_computers,5,116464,90.4737,0.641651517,155145257422,49,0.83893624,0.75095684,318930,59216,50332,63244
coauthor_physics,1,105668,96.309,0.695267619,170994544976,21,0.86885598,0.77596164,368050,17230,16768,93876
coauthor_physics,2,107444,97.7841,0.695410685,171029730708,23,0.86853967,0.77546156,367850,17278,16720,94076
coauthor_physics,3,107068,98.3568,0.695404197,171028135222,26,0.86858986,0.77552609,367906,17302,16696,94020
coauthor_physics,4,105180,99.9022,0.695189545,170975343512,25,0.86894485,0.77604633,368198,17336,16662,93728
coauthor_physics,5,108192,97.97,0.695388076,171024170340,21,0.86952603,0.77699002,368526,17196,16802,93400
