instance,run,mem,time,q,qn,clusters,f1,acc,tp,fp,tn,fn
cora,1,21932,74.4719,0.825020055,91931272,104,0.88081751,0.79670330,7930,1526,480,620
cora,2,22176,78.9298,0.825181449,91949256,104,0.88056050,0.79651383,7918,1516,490,632
cora,3,22224,91.5938,0.824982884,91927130,105,0.87877432,0.79461917,7858,1476,530,692
cora,4,21844,71.4887,0.825030537,91932440,104,0.87855470,0.79367185,7878,1506,500,672
cora,5,22240,89.5297,0.824946825,91923112,106,0.87820154,0.79367185,7852,1480,526,698
citeseer,1,21432,19.9875,0.894192542,74113196,425,0.83065254,0.71550967,6352,2246,162,344
citeseer,2,21244,59.6837,0.894192542,74113196,425,0.83091408,0.71594903,6354,2244,164,342
citeseer,3,21468,58.3146,0.894192542,74113196,425,0.83091408,0.71594903,6354,2244,164,342
citeseer,4,21632,22.5097,0.894192542,74113196,425,0.83091408,0.71594903,6354,2244,164,342
citeseer,5,21548,27.7334,0.894192542,74113196,425,0.83065254,0.71550967,6352,2246,162,344
pubmed,1,37636,85.0365,0.788406387,6195666294,37,0.83742983,0.73080047,61464,14198,3320,9666
pubmed,2,37768,86.8774,0.788680486,6197820288,36,0.83897166,0.73249255,61776,14360,3158,9354
pubmed,3,35888,93.7014,0.788687719,6197877132,31,0.83724344,0.72985290,61596,14414,3104,9534
pubmed,4,36516,96.112,0.788876642,6199361778,36,0.83550367,0.72725837,61402,14450,3068,9728
pubmed,5,37452,95.358,0.788763759,6198474684,35,0.83541269,0.72737118,61336,14374,3144,9794
amazon_photo,1,56684,63.6047,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_photo,2,53240,23.6953,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_photo,3,55216,29.1388,0.740093986,41978973296,35,0.92166473,0.86591480,187862,22778,18366,9156
amazon_photo,4,58112,67.9151,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
amazon_photo,5,53676,49.3929,0.740099360,41979278136,35,0.92162548,0.86584762,187854,22786,18358,9164
coauthor_cs,1,41472,99.5409,0.758470831,20347124546,27,0.91095835,0.85274868,123372,15140,16298,8978
coauthor_cs,2,39848,100.998,0.758706986,20353459768,32,0.91080035,0.85310279,122836,14546,16892,9514
coauthor_cs,3,40388,99.8055,0.758629227,20351373752,27,0.91186689,0.85472684,123092,14536,16902,9258
coauthor_cs,4,39508,69.7957,0.758708419,20353498192,29,0.91112973,0.85367670,122854,14470,16968,9496
coauthor_cs,5,42548,95.1451,0.758462669,20346905590,27,0.91128177,0.85399419,122818,14382,17056,9532
amazon_computers,1,75572,95.4053,0.641559173,155122929462,49,0.83856881,0.75040775,318766,59322,50226,63408
amazon_computers,2,80604,90.42,0.641572503,155126152536,49,0.83866130,0.75059078,318750,59216,50332,63424
amazon_computers,3,79444,93.246,0.641529765,155115819030,50,0.83862379,0.75052164,318750,59250,50298,63424
amazon_computers,4,80592,83.4025,0.641580384,155128058274,49,0.83833929,0.74997661,318776,59544,50004,63398
amazon_computers,5,83064,79.9063,0.641549615,155120618612,49,0.83847633,0.75024506,318756,59392,50156,63418
coauthor_physics,1,62816,97.1301,0.694775355,170873477300,25,0.86816214,0.77497358,367434,17104,16894,94492
coauthor_physics,2,67844,96.7486,0.694964110,170919900010,23,0.86946511,0.77685694,368548,17284,16714,93378
coauthor_physics,3,62420,101.088,0.694491518,170803670430,24,0.86876542,0.77581646,367996,17248,16750,93930
coauthor_physics,4,63568,101.464,0.694582470,170826039120,24,0.86914937,0.77643752,368216,17160,16838,93710
coauthor_physics,5,71892,100.923,0.694884506,170900322004,23,0.86797882,0.77461063,367438,17288,16710,94488
