instance,run,mem,time,q,qn,clusters,f1,acc,tp,fp,tn,fn
citeseer,1,22148,0.1039,0.826243862,68481418,560,0.82786885,0.71397188,6262,2170,238,434
citeseer,2,22148,0.1015,0.826243862,68481418,560,0.82786885,0.71397188,6262,2170,238,434
citeseer,3,22148,0.1022,0.826243862,68481418,560,0.82786885,0.71397188,6262,2170,238,434
citeseer,4,22148,0.1010,0.826243862,68481418,560,0.82786885,0.71397188,6262,2170,238,434
citeseer,5,22148,0.1026,0.826243862,68481418,560,0.82786885,0.71397188,6262,2170,238,434
cora,1,30380,0.1692,0.764567195,85195062,243,0.86007140,0.76979917,7468,1348,658,1082
cora,2,30380,0.1663,0.764567195,85195062,243,0.86007140,0.76979917,7468,1348,658,1082
cora,3,30380,0.1672,0.764567195,85195062,243,0.86007140,0.76979917,7468,1348,658,1082
cora,4,30380,0.1660,0.764567195,85195062,243,0.86007140,0.76979917,7468,1348,658,1082
cora,5,30380,0.1698,0.764567195,85195062,243,0.86007140,0.76979917,7468,1348,658,1082
amazon_photo,1,417912,6.6540,0.702927141,39870827592,146,0.90156256,0.83409612,180940,23434,17710,16078
amazon_photo,2,417912,6.7200,0.702927141,39870827592,146,0.90156256,0.83409612,180940,23434,17710,16078
amazon_photo,3,417912,6.7744,0.702927141,39870827592,146,0.90156256,0.83409612,180940,23434,17710,16078
amazon_photo,4,417912,6.6683,0.702927141,39870827592,146,0.90156256,0.83409612,180940,23434,17710,16078
amazon_photo,5,417912,6.7929,0.702927141,39870827592,146,0.90156256,0.83409612,180940,23434,17710,16078
pubmed,1,488292,10.6941,0.711185271,5588826632,787,0.81286222,0.69840267,58066,13672,3846,13064
pubmed,2,488292,10.6874,0.711185271,5588826632,787,0.81286222,0.69840267,58066,13672,3846,13064
pubmed,3,488292,10.7493,0.711185271,5588826632,787,0.81286222,0.69840267,58066,13672,3846,13064
pubmed,4,488292,10.5989,0.711185271,5588826632,787,0.81286222,0.69840267,58066,13672,3846,13064
pubmed,5,488292,10.6594,0.711185271,5588826632,787,0.81286222,0.69840267,58066,13672,3846,13064
coauthor_cs,1,934272,17.0255,0.685632130,18393116478,675,0.86970923,0.78961829,115006,17114,14324,17344
coauthor_cs,2,934272,17.2334,0.685632130,18393116478,675,0.86970923,0.78961829,115006,17114,14324,17344
coauthor_cs,3,934272,16.8980,0.685632130,18393116478,675,0.86970923,0.78961829,115006,17114,14324,17344
coauthor_cs,4,934272,17.1097,0.685632130,18393116478,675,0.86970923,0.78961829,115006,17114,14324,17344
coauthor_cs,5,934272,16.9369,0.685632130,18393116478,675,0.86970923,0.78961829,115006,17114,14324,17344
amazon_computers,1,1466000,31.5811,0.596771289,144293643640,269,0.85661290,0.77141556,335746,65972,43576,46428
amazon_computers,2,1466000,31.0027,0.596771289,144293643640,269,0.85661290,0.77141556,335746,65972,43576,46428
amazon_computers,3,1466000,30.3935,0.596771289,144293643640,269,0.85661290,0.77141556,335746,65972,43576,46428
amazon_computers,4,1466000,29.4209,0.596771289,144293643640,269,0.85661290,0.77141556,335746,65972,43576,46428
amazon_computers,5,1466000,29.5921,0.596771289,144293643640,269,0.85661290,0.77141556,335746,65972,43576,46428
coauthor_physics,1,4355728,83.5960,0.566905090,139424985808,1859,0.83979220,0.73534655,343994,13316,20682,117932
coauthor_physics,2,4355728,79.1695,0.566905090,139424985808,1859,0.83979220,0.73534655,343994,13316,20682,117932
coauthor_physics,3,4355728,75.6688,0.566905090,139424985808,1859,0.83979220,0.73534655,343994,13316,20682,117932
coauthor_physics,4,4355728,75.4192,0.566905090,139424985808,1859,0.83979220,0.73534655,343994,13316,20682,117932
coauthor_physics,5,4355728,76.0486,0.566905090,139424985808,1859,0.83979220,0.73534655,343994,13316,20682,117932
