category,avg,max,maxdiff
commdgi\_par\_org,-5.44e-08,-2.4e-08,3.0399999999999994e-08
commdgi\_par\_id,0.004220631000000001,0.008638051,0.00441742
dmon\_seq\_id,-0.006570413999999999,0.020138928,0.026709342
dmon\_seq\_org,0.08793352559999999,0.12371813,0.0357846044
ucode\_par\_org,0.044200227800000005,0.141568326,0.09736809819999999
hollocou,0.178458153,0.212171765,0.033713612000000004
commdgi\_par\_man,0.1812484674,0.24078595,0.0595374826
dmon\_seq\_man,0.3663665934,0.384285429,0.017918835600000016
infomap\_par,0.45041905,0.45041905,0.0
infomap\_seq,0.45041905,0.45041905,0.0
magi\_par\_org,0.5272127292,0.537575535,0.010362805800000041
dgcluster\_seq\_org,0.5660397046,0.580566969,0.014527264400000073
gnns\_seq,0.5797347156,0.582891319,0.003156603400000013
walktrap,0.596771289,0.596771289,0.0
dgcluster\_par\_org,0.5967731716,0.604761701,0.007988529400000055
gnns\_par,0.6276682548,0.629119489,0.00145123420000004
louvain,0.6359136012000001,0.638569759,0.0026561577999999475
leiden,0.6404874844,0.64100531,0.0005178256000000214
vieclus\_seq,0.641558288,0.641580384,2.209599999991596e-05
vieclus\_par,0.641652942,0.641670402,1.7460000000024678e-05
