category,avg,max,maxdiff
commdgi\_par\_org,1.3369600000000002e-05,5.0348e-05,3.69784e-05
dmon\_seq\_id,0.045756669,0.067656136,0.021899467000000006
dmon\_seq\_org,0.1384915722,0.181948092,0.04345651980000001
commdgi\_par\_man,0.2884687768,0.343051985,0.05458320820000001
hollocou,0.3776354202,0.390001662,0.01236624180000001
commdgi\_par\_id,0.2563912342,0.449014269,0.19262303480000004
dmon\_seq\_man,0.4801609428,0.491092596,0.010931653200000002
ucode\_par\_org,0.4485267520000001,0.50093375,0.05240699799999987
infomap\_par,0.597620743,0.597620743,0.0
infomap\_seq,0.597620743,0.597620743,0.0
magi\_par\_org,0.612872168,0.627199418,0.014327250000000014
gnns\_seq,0.67799882,0.681717315,0.0037184949999999883
walktrap,0.702927141,0.702927141,0.0
dgcluster\_seq\_org,0.6880053946,0.7088664,0.02086100540000002
dgcluster\_par\_org,0.7046280486000001,0.7127241,0.008096051399999915
gnns\_par,0.7162007565999999,0.719154288,0.002953531400000098
louvain,0.7361182366,0.737882546,0.0017643094000000525
leiden,0.7385852102,0.739393843,0.0008086327999999865
vieclus\_seq,0.7400982852,0.74009936,1.0748000000004865e-06
vieclus\_par,0.74009936,0.74009936,0.0
