category,avg,max,maxdiff
commdgi\_par\_man,0.1751213852,0.189201269,0.014079883799999998
dmon\_seq\_man,0.5711655062000001,0.590782291,0.019616784799999953
commdgi\_par\_org,0.6114075943999999,0.624591978,0.013184383600000071
hollocou,0.6644968234,0.679413908,0.014917084599999964
commdgi\_par\_id,0.6856553326,0.69923961,0.013584277400000011
ucode\_par\_org,0.6999523562000001,0.705243291,0.00529093479999998
dmon\_seq\_id,0.8072073898,0.816505727,0.009298337200000062
walktrap,0.8262438619999999,0.826243862,1.1102230246251565e-16
dmon\_seq\_org,0.8264396032000001,0.834505454,0.008065850799999885
magi\_par\_org,0.8212977942,0.836468128,0.015170333799999991
gnns\_par,0.8440151066,0.850357787,0.006342680399999967
gnns\_seq,0.8440151066,0.850357787,0.006342680399999967
infomap\_par,0.853654972,0.853654972,0.0
infomap\_seq,0.853654972,0.853654972,0.0
dgcluster\_par\_org,0.8506233808000001,0.85920821,0.008584829199999922
dgcluster\_seq\_org,0.8510765846,0.859237359,0.00816077439999996
louvain,0.8891170632,0.890709215,0.0015921518000000523
leiden,0.8916768652,0.893004286,0.0013274208000000343
vieclus\_seq,0.8941925420000001,0.894192542,-1.1102230246251565e-16
vieclus\_par,0.8941925420000001,0.894192542,-1.1102230246251565e-16
