category,avg,max,maxdiff
commdgi\_par\_id,0.015455304000000003,0.033766759,0.018311454999999997
dmon\_seq\_id,0.071737798,0.084925445,0.013187646999999997
commdgi\_par\_man,0.21972335680000002,0.240741843,0.02101848619999999
ucode\_par\_org,0.23874770820000002,0.261922319,0.023174610799999995
hollocou,0.29660558979999996,0.310512508,0.013906918200000062
dmon\_seq\_man,0.33605860080000005,0.342072526,0.006013925199999937
gnns\_seq,0.5712576166666666,0.580094037,0.008836420333333317
commdgi\_par\_org,0.5275693676000001,0.634725065,0.10715569739999997
magi\_par\_org,0.6535658948,0.66483546,0.011269565199999998
walktrap,0.68563213,0.68563213,0.0
infomap\_seq,0.688317158,0.688317158,0.0
infomap\_par,0.688317158,0.688317158,0.0
dmon\_seq\_org,0.6929650155999999,0.700256197,0.0072911814000000685
gnns\_par,0.6925908298,0.704112505,0.011521675200000026
dgcluster\_seq\_org,0.7073888457999999,0.714168805,0.006779959200000074
dgcluster\_par\_org,0.7244051168000001,0.733048275,0.008643158199999945
louvain,0.7372638138000001,0.738511121,0.0012473071999999918
leiden,0.7523208234,0.753674197,0.0013533736000000962
vieclus\_seq,0.7585956264,0.758708419,0.00011279259999996682
vieclus\_par,0.7591666304,0.759196315,2.968459999996842e-05
