category,avg,max,maxdiff
dmon\_seq\_id,0.0061923496,0.030953685,0.0247613354
hollocou,0.2450079556,0.247531676,0.0025237204000000124
ucode\_par\_org,0.19597661019999998,0.318613062,0.12263645180000002
commdgi\_par\_man,0.285203586,0.326459537,0.04125595100000001
dmon\_seq\_man,0.3632858174,0.371684242,0.00839842460000001
commdgi\_par\_org,0.4206002614,0.450388457,0.02978819560000001
gnns\_seq,0.49624887500000003,0.502216777,0.005967901999999969
walktrap,0.56690509,0.56690509,0.0
dmon\_seq\_org,0.5340142191999999,0.576444338,0.04243011880000003
magi\_par\_org,0.5790100936,0.583248698,0.004238604400000012
infomap\_seq,0.591980033,0.591980033,0.0
infomap\_par,0.591980033,0.591980033,0.0
dgcluster\_seq\_org,0.6212752918000001,0.628411639,0.007136347199999893
gnns\_par,0.6039290814,0.640203598,0.03627451660000003
dgcluster\_par\_org,0.6480050011999999,0.650333569,0.0023285678000000143
louvain,0.667532061,0.670608016,0.003075955000000019
leiden,0.6852251542000001,0.689284723,0.004059568799999913
vieclus\_seq,0.6947395918,0.69496411,0.00022451820000002343
vieclus\_par,0.6953320244,0.695410685,7.866060000005781e-05
commdgi\_par\_id,,,
