category,avg,max,maxdiff
commdgi\_par\_man,0.19074412599999999,0.203762057,0.01301793100000001
hollocou,0.3969034952,0.408603204,0.011699708799999986
dmon\_seq\_man,0.4365426432,0.455902323,0.019359679799999974
ucode\_par\_org,0.6800834992,0.686158438,0.006074938799999985
commdgi\_par\_org,0.6908903424,0.703092214,0.01220187159999997
dmon\_seq\_id,0.74264971,0.746439153,0.003789442999999948
commdgi\_par\_id,0.7387434784,0.751278408,0.012534929600000022
magi\_par\_org,0.7508643266,0.759883896,0.009019569399999927
walktrap,0.764567195,0.764567195,0.0
gnns\_seq,0.7610024576,0.766331778,0.005329320400000004
gnns\_par,0.7610024576,0.766331778,0.005329320400000004
dmon\_seq\_org,0.7568180222,0.766411506,0.009593483799999913
dgcluster\_par\_org,0.784262697,0.790841723,0.006579026000000043
dgcluster\_seq\_org,0.7845256086,0.791214193,0.006688584399999975
infomap\_seq,0.796185173,0.796185173,0.0
infomap\_par,0.796185173,0.796185173,0.0
louvain,0.815343326,0.815760628,0.0004173020000000083
leiden,0.8221513296000001,0.823230631,0.001079301399999899
vieclus\_seq,0.8250323500000001,0.825181449,0.00014909899999993037
vieclus\_par,0.8254884351999999,0.825492104,3.668800000022898e-06
