category,avg,max,maxdiff
commdgi\_par\_id,0.0053374106,0.007958381,0.0026209704000000004
dmon\_seq\_id,0.036116653000000006,0.051142851,0.015026197999999998
ucode\_par\_org,0.18725408040000002,0.218521858,0.03126777759999999
commdgi\_par\_man,0.1988281576,0.227087703,0.028259545400000002
hollocou,0.34226079700000006,0.361232803,0.01897200599999993
dmon\_seq\_man,0.42680795099999996,0.439117935,0.012309984000000052
dmon\_seq\_org,0.5486035544,0.559612379,0.011008824600000078
commdgi\_par\_org,0.5599149218000001,0.575096147,0.01518122519999987
gnns\_seq,0.603197166,0.608417188,0.005220022000000046
dgcluster\_par\_org,0.6702263740000001,0.681341999,0.011115624999999962
dgcluster\_seq\_org,0.6687637874,0.68246087,0.013697082600000021
magi\_par\_org,0.6866978242,0.69272751,0.006029685799999962
walktrap,0.711185271,0.711185271,0.0
infomap\_par,0.730840118,0.730840118,0.0
infomap\_seq,0.730840118,0.730840118,0.0
gnns\_par,0.7228606652,0.741167894,0.01830722880000002
louvain,0.769975363,0.771803899,0.0018285359999999917
leiden,0.7820610192,0.78365048,0.0015894607999999977
vieclus\_seq,0.7886829985999999,0.788876642,0.0001936434000000542
vieclus\_par,0.7895801874,0.789650773,7.058559999995051e-05
