algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut
walktrap,adjnoun,1,20480,0,0.0065,0,adjnoun.graph,112,850,0.216213148,156214,25,0.40827434,0.01236110
walktrap,adjnoun,2,20480,0,0.0062,0,adjnoun.graph,112,850,0.216213148,156214,25,0.40827434,0.01236110
walktrap,adjnoun,3,20480,0,0.0063,0,adjnoun.graph,112,850,0.216213148,156214,25,0.40827434,0.01236110
walktrap,adjnoun,4,20480,0,0.0059,0,adjnoun.graph,112,850,0.216213148,156214,25,0.40827434,0.01236110
walktrap,adjnoun,5,20480,0,0.0058,0,adjnoun.graph,112,850,0.216213148,156214,25,0.40827434,0.01236110
vieclus,adjnoun,1,20480,0,0.377768,0,adjnoun.graph,112,850,0.313367474,226408,7,0.25759733,0.01876593
vieclus,adjnoun,2,22528,0,0.475548,0,adjnoun.graph,112,850,0.313367474,226408,7,0.25759733,0.01876593
vieclus,adjnoun,3,22528,0,0.0174079,0,adjnoun.graph,112,850,0.313367474,226408,7,0.25759733,0.01876593
vieclus,adjnoun,4,22528,0,0.178302,0,adjnoun.graph,112,850,0.313367474,226408,7,0.25759733,0.01876593
vieclus,adjnoun,5,22528,0,0.634489,0,adjnoun.graph,112,850,0.313367474,226408,7,0.25759733,0.01876593
ucode,adjnoun,1,370276,0,2.1729350090026855,1000,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
ucode,adjnoun,2,370276,0,2.166208267211914,1000,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
ucode,adjnoun,3,370276,0,2.1641268730163574,1000,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
ucode,adjnoun,4,370276,0,2.1370110511779785,1000,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
ucode,adjnoun,5,370276,0,2.1200215816497803,1000,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
magi,adjnoun,1,397312,0,3.1202120780944824,100,adjnoun.graph,112,850,-0.008224221,-5942,8,0.45702672,0.02438637
magi,adjnoun,2,397312,0,3.247743844985962,100,adjnoun.graph,112,850,-0.008224221,-5942,8,0.45702672,0.02438637
magi,adjnoun,3,397312,0,3.236607789993286,100,adjnoun.graph,112,850,-0.008224221,-5942,8,0.45702672,0.02438637
magi,adjnoun,4,397312,0,3.2374398708343506,100,adjnoun.graph,112,850,-0.008224221,-5942,8,0.45702672,0.02438637
magi,adjnoun,5,397312,0,3.236968517303467,100,adjnoun.graph,112,850,-0.008224221,-5942,8,0.45702672,0.02438637
louvain,adjnoun,1,20480,0,0.0051,0,adjnoun.graph,112,850,0.294001384,212416,6,0.26691827,0.02184534
louvain,adjnoun,2,20480,0,0.0052,0,adjnoun.graph,112,850,0.295637370,213598,7,0.26932514,0.02081199
louvain,adjnoun,3,20480,0,0.0053,0,adjnoun.graph,112,850,0.287720415,207878,8,0.28909128,0.02183090
louvain,adjnoun,4,20480,0,0.0050,0,adjnoun.graph,112,850,0.293076816,211748,6,0.26858275,0.02233342
louvain,adjnoun,5,20480,0,0.0046,0,adjnoun.graph,112,850,0.291670588,210732,8,0.29051680,0.02357860
leiden,adjnoun,1,20480,0,0.0054,0,adjnoun.graph,112,850,0.307750865,222350,6,0.25510576,0.02027831
leiden,adjnoun,2,20480,0,0.0054,0,adjnoun.graph,112,850,0.305611072,220804,7,0.27286337,0.02136027
leiden,adjnoun,3,20480,0,0.0056,0,adjnoun.graph,112,850,0.300755709,217296,8,0.28044897,0.02176249
leiden,adjnoun,4,20480,0,0.0057,0,adjnoun.graph,112,850,0.297486505,214934,6,0.26270401,0.02160215
leiden,adjnoun,5,20480,0,0.0054,0,adjnoun.graph,112,850,0.295543252,213530,8,0.28186172,0.02159577
infomap,adjnoun,1,18432,0,0.0082,0,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
infomap,adjnoun,2,18432,0,0.0082,0,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
infomap,adjnoun,3,18432,0,0.0080,0,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
infomap,adjnoun,4,18432,0,0.0076,0,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
infomap,adjnoun,5,18432,0,0.0081,0,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
hollocou,adjnoun,1,2048,0,0.000,0,adjnoun.graph,112,850,-0.000019377,-14,3,0.50000000,0.00677723
hollocou,adjnoun,2,2048,0,0.000,0,adjnoun.graph,112,850,-0.000063667,-46,5,0.50000000,0.00679429
hollocou,adjnoun,3,2048,0,0.000,0,adjnoun.graph,112,850,-0.000094117,-68,5,0.50000000,0.00502657
hollocou,adjnoun,4,2048,0,0.000,0,adjnoun.graph,112,850,-0.000094117,-68,5,0.50000000,0.00582930
hollocou,adjnoun,5,2048,0,0.000,0,adjnoun.graph,112,850,-0.000119031,-86,4,0.50000000,0.00808845
gnns,adjnoun,1,251348,0,0.11357760429382324,50,adjnoun.graph,112,850,0.306344636,221334,7,0.26503188,0.02086435
gnns,adjnoun,2,251348,0,0.11328959465026855,50,adjnoun.graph,112,850,0.304346020,219890,8,0.27539444,0.02077126
gnns,adjnoun,3,251348,0,0.10881638526916504,50,adjnoun.graph,112,850,0.305541868,220754,9,0.28570835,0.01918604
gnns,adjnoun,4,251348,0,0.1094672679901123,50,adjnoun.graph,112,850,0.306322491,221318,8,0.28504404,0.02051835
gnns,adjnoun,5,251348,0,0.11283755302429199,50,adjnoun.graph,112,850,0.304584083,220062,9,0.28411338,0.02063344
dmon,adjnoun,1,575488,0,26.3719,1000,adjnoun.graph,112,850,0.192736332,139252,16,0.39488174,0.02546479
dmon,adjnoun,2,575488,0,26.1447,1000,adjnoun.graph,112,850,0.230834602,166778,16,0.37180842,0.02799518
dmon,adjnoun,3,575488,0,26.1776,1000,adjnoun.graph,112,850,0.223224913,161280,16,0.36679611,0.02493358
dmon,adjnoun,4,575488,0,27.3975,1000,adjnoun.graph,112,850,0.207833910,150160,16,0.38081495,0.02845409
dmon,adjnoun,5,575488,0,27.5936,1000,adjnoun.graph,112,850,0.198375086,143326,15,0.40188407,0.02699610
dgcluster,adjnoun,1,393784,0,2.3400585651397705,300,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
dgcluster,adjnoun,2,393784,0,2.420135021209717,300,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
dgcluster,adjnoun,3,393784,0,2.3821632862091064,300,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
dgcluster,adjnoun,4,393784,0,2.3403713703155518,300,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
dgcluster,adjnoun,5,393784,0,2.429189920425415,300,adjnoun.graph,112,850,0.000000000,0,1,0.00000000,0.00000000
commdgi,adjnoun,1,377604,0,9.4937,1001,adjnoun.graph,112,850,0.259703806,187636,13,0.33107739,0.01969741
commdgi,adjnoun,2,377604,0,9.4670,1001,adjnoun.graph,112,850,0.255620761,184686,15,0.32831110,0.01859340
