dout,combo,dgcluster,leiden,walktrap,clustre,lim,hollocou,magi,vieclus,commdgi,wt,dmon,ucode,cnm,louvain,gnns
1.0,1.0,0.99529915,1.0,1.0,0.5984599,0.0,0.0335584,1.0,1.0,0.99529915,1.0,1.0,0.88306433,1.0,1.0,1.0
1.5,1.0,0.98218296,1.0,1.0,0.57039411,0.0,0.06717456,1.0,1.0,0.98687923,0.99056985,1.0,0.88236178,1.0,1.0,1.0
2.0,1.0,0.96201833,1.0,1.0,0.55532134,0.0,0.01896394,1.0,1.0,0.97848633,1.0,1.0,0.85982173,1.0,1.0,1.0
2.5,1.0,0.94584413,1.0,1.0,0.49426612,0.0,0.03157351,1.0,1.0,0.97377299,0.99529915,1.0,0.80349414,1.0,1.0,1.0
3.0,1.0,0.93063334,1.0,1.0,0.48989376,0.0,0.03911616,1.0,1.0,0.96267196,0.99527757,1.0,0.79758393,1.0,1.0,1.0
3.5,1.0,0.92475925,1.0,1.0,0.46478587,0.0,0.03751974,1.0,1.0,0.96105945,0.99529915,1.0,0.82250593,0.99057523,1.0,1.0
4.0,1.0,0.90343146,1.0,1.0,0.433205,0.0,0.02961507,1.0,1.0,0.94390049,0.99529915,1.0,0.79461347,0.98216522,1.0,1.0
4.5,1.0,0.88194706,1.0,1.0,0.45042276,0.0,0.02847237,1.0,1.0,0.92466132,0.97849161,1.0,0.77490088,0.97750431,1.0,1.0
5.0,1.0,0.85485872,1.0,1.0,0.39420464,0.0,0.03035594,1.0,1.0,0.92854867,0.98688037,1.0,0.74448561,0.96911613,1.0,1.0
5.5,1.0,0.81871367,1.0,1.0,0.33954533,0.0,0.03269007,1.0,1.0,0.90445014,0.96578857,1.0,0.74409537,0.95468347,1.0,1.0
6.0,1.0,0.77754748,0.99527762,0.98587682,0.28653029,0.0,0.02894908,1.0,0.99527762,0.88044669,0.94890652,1.0,0.74201076,0.95371378,0.99527762,0.99527762
6.5,0.99057523,0.74794032,0.99057523,0.97275949,0.28914901,0.0,0.02411021,1.0,0.99057523,0.8668629,0.91348256,0.99527762,0.70947223,0.9199146,0.99057523,0.99057523
7.0,0.98587126,0.69262445,0.98587126,0.96067613,0.2711807,0.0,0.01838602,1.0,0.98587126,0.84173462,0.88509642,0.99527762,0.66233378,0.89108647,0.97278564,0.98587126
7.5,0.96809888,0.62808838,0.96809888,0.94114833,0.2448626,0.0,0.02200141,1.0,0.96809888,0.81705036,0.77561948,0.98588883,0.68383434,0.74614773,0.96809888,0.96809888
8.0,0.9522933,0.57165492,0.9522933,0.85980221,0.20153782,0.0,0.00500172,1.0,0.9522933,0.75047615,0.75565405,0.98587884,0.65512812,0.71028274,0.92296623,0.9522933
8.5,0.92990241,0.48923795,0.92990241,0.72784948,0.17321081,0.0,0.01837585,1.0,0.92990241,0.69140175,0.66636024,0.99057523,0.56011132,0.71348764,0.86198383,0.92853913
9.0,0.87704097,0.40104185,0.88313083,0.61185958,0.15463305,0.0,0.00796889,1.0,0.87704097,0.70214366,0.67714703,0.97179808,0.55355661,0.63295617,0.84188504,0.87307827
9.5,0.82250956,0.30143351,0.81623255,0.47318766,0.13790704,0.0,0.0188638,1.0,0.83121552,0.64648286,0.44071771,0.95967104,0.52568999,0.56702034,0.57935709,0.68617848
10.0,0.76598653,0.22039129,0.23700881,0.33503171,0.1171314,0.0,0.02956998,1.0,0.7426067,0.5659043,0.32790538,0.93635119,0.48354692,0.19375048,0.12124896,0.43350492
10.5,0.11656973,0.18665748,0.12962607,0.21658424,0.1143524,0.0,0.02301925,1.0,0.32290301,0.49861005,0.08470428,0.90864257,0.43899894,0.03649277,0.05241055,0.12378419
11.0,0.13267704,0.13344576,0.05254276,0.09515064,0.0945882,0.0,0.01776048,1.0,0.11586361,0.44171774,0.02764678,0.82308139,0.38130786,0.03923846,0.07133355,0.10923535
11.5,0.05621804,0.10448277,0.06334159,0.05564819,0.07623618,0.0,0.02014313,1.0,0.03997678,0.32602605,0.01889206,0.79863019,0.36119265,0.0192358,0.05209602,0.06675296
12.0,0.02675772,0.08346003,0.02527264,0.05036079,0.07612771,0.0,0.02444713,1.0,0.03173276,0.26988913,0.01550287,0.73328644,0.34687373,0.02424458,0.03200572,0.04311928
12.5,0.007218,0.06864082,0.02008523,0.04062663,0.06959971,0.0,0.02608131,1.0,0.01700134,0.24212137,0.00951198,0.65842121,0.30845585,0.01650163,0.01497575,0.02585868
13.0,0.00884402,0.05193432,0.01397973,0.02749382,0.06125866,0.0,0.02819852,1.0,0.0209691,0.18749438,0.01188281,0.57832117,0.30787133,0.0095612,0.00872641,0.02413722
13.5,0.01047416,0.0431238,0.01342213,0.0252231,0.05101491,0.0,0.00769337,1.0,0.01000186,0.16174055,0.0112631,0.56575033,0.2877521,0.00540639,0.01047611,0.02481104
14.0,0.00748572,0.03568837,0.00785775,0.00934231,0.05527371,0.0,0.01748778,1.0,0.01185477,0.12904849,0.00327557,0.48582718,0.19457347,0.00702452,0.0123462,0.01241671
