algorithm,instance,run,memory,code,time,iterations,graph,nodes,edges,modularity,N,clusters,conductance,cut,f1,accuracy,tp,fp,tn,fn,ari,nmi,purity,invpurity
lim,citeseer,1,723208,0,905.4862,648,citeseer.graph,3327,9104,0.692420151,57389732,7,0.05650689,0.00005620,0.80884335,0.68848858,6000,2140,268,696,0.03158551,0.05812272,0.29425909,0.32611963
lim,citeseer,2,739460,0,1218.1838,880,citeseer.graph,3327,9104,0.775515928,64276944,8,0.03696252,0.00003404,0.82903735,0.71441125,6304,2208,200,392,0.09900840,0.11538295,0.41298467,0.34535618
vieclus,citeseer,1,20480,0,7.21787,0,citeseer.graph,3327,9104,0.894192542,74113196,425,0.00255034,0.00000233,0.83091408,0.71594903,6354,2244,164,342,0.09808518,0.37740343,0.75112714,0.20168320
vieclus,citeseer,2,20480,0,8.29451,0,citeseer.graph,3327,9104,0.894192542,74113196,425,0.00254846,0.00000233,0.83065254,0.71550967,6352,2246,162,344,0.09801987,0.37687718,0.75082657,0.20168320
ucode,citeseer,1,785972,0,459.01673698425293,1000,citeseer.graph,3327,9104,0.699475654,57974512,5,0.04119903,0.00003988,0.84510401,0.74318981,6378,2020,388,318,0.45304254,0.44299015,0.70033063,0.73700030
ucode,citeseer,2,785972,0,460.718523979187,1000,citeseer.graph,3327,9104,0.693339232,57465908,5,0.04843494,0.00005013,0.84654526,0.74824253,6322,1918,490,374,0.46146728,0.43899139,0.70574091,0.72708145
magi,citeseer,1,1030276,0,214.72748351097107,100,citeseer.graph,3327,9104,0.755137325,62587908,6,0.02772688,0.00002464,0.83770043,0.72649385,6426,2220,188,270,0.33228990,0.34157165,0.62789300,0.61466787
magi,citeseer,2,1030276,0,215.37643218040466,100,citeseer.graph,3327,9104,0.751718884,62304578,6,0.02567382,0.00002307,0.83810515,0.72671353,6440,2232,176,256,0.33594625,0.33640887,0.62248272,0.61406673
infomap,citeseer,1,21420,0,0.1220,0,citeseer.graph,3327,9104,0.853654972,70753328,405,0.00085694,0.00000080,0.84053113,0.72825132,6520,2298,110,176,0.17378356,0.38039476,0.74271115,0.31259393
infomap,citeseer,2,21420,0,0.1220,0,citeseer.graph,3327,9104,0.853654972,70753328,405,0.00085694,0.00000080,0.84053113,0.72825132,6520,2298,110,176,0.17378356,0.38039476,0.74271115,0.31259393
gnns,citeseer,1,1763212,0,48.109463691711426,50,citeseer.graph,3327,9104,0.846864035,70190476,57,0.05552571,0.00004122,0.80799565,0.68980668,5942,2070,338,754,0.04372324,0.14722975,0.47400060,0.12233243
gnns,citeseer,2,1763212,0,48.44469356536865,50,citeseer.graph,3327,9104,0.845821575,70104074,57,0.05302643,0.00004344,0.80886351,0.69112478,5950,2066,342,746,0.04122132,0.14339207,0.46438233,0.11421701
dmon,citeseer,1,850076,0,100.3026,1000,citeseer.graph,3327,9104,0.749230576,62098340,6,0.02512596,0.00002223,0.83894449,0.72781195,6454,2236,172,242,0.23763235,0.24720531,0.52930568,0.50586114
dmon,citeseer,2,850076,0,100.3079,1000,citeseer.graph,3327,9104,0.761796172,63139812,6,0.02581061,0.00002596,0.83833899,0.72803163,6420,2200,208,276,0.25955241,0.27975437,0.53742110,0.50946799
dgcluster,citeseer,1,915456,0,89.8464024066925,300,citeseer.graph,3327,9104,0.846464965,70157400,22,0.02674322,0.00002737,0.82499009,0.70891916,6246,2200,208,450,0.17334146,0.25429985,0.56928164,0.32551849
