sigma,combo,dgcluster,leiden,walktrap,clustre,lim,hollocou,magi,vieclus,commdgi,wt,dmon,ucode,cnm,louvain,gnns
0.01,1.0,0.78621445,1.0,1.0,0.433205,0.0,0.02499115,0.00194499,1.0,0.04637104,0.99529915,0.22916878,0.35467197,0.98216522,1.0,1.0
0.0125,1.0,0.7794875,1.0,1.0,0.433205,0.0,0.03666549,0.00344382,1.0,0.05002436,0.99529915,0.23274925,0.27375458,0.98216522,1.0,1.0
0.0158,1.0,0.78014138,1.0,1.0,0.433205,0.0,0.02216155,0.00170126,1.0,0.05416161,0.99529915,0.33547805,0.33907111,0.98216522,1.0,1.0
0.0199,1.0,0.78333681,1.0,1.0,0.433205,0.0,0.01666385,0.00331982,1.0,0.0577018,0.99529915,0.34512553,0.30764935,0.98216522,1.0,1.0
0.0251,1.0,0.78544271,1.0,1.0,0.433205,0.0,0.01329187,0.00139984,1.0,0.05932316,0.99529915,0.34297458,0.30952996,0.98216522,1.0,1.0
0.0316,1.0,0.79565073,1.0,1.0,0.433205,0.0,0.03616963,0.00239141,1.0,0.06552006,0.99529915,0.38195708,0.32711942,0.98216522,1.0,1.0
0.0398,1.0,0.78763491,1.0,1.0,0.433205,0.0,0.02959287,0.00232289,1.0,0.11052149,0.99529915,0.45567199,0.37048913,0.98216522,1.0,1.0
0.0501,1.0,0.8018398,1.0,1.0,0.433205,0.0,0.01725587,0.00159918,1.0,0.113415,0.99529915,0.48656098,0.32653962,0.98216522,1.0,1.0
0.0631,1.0,0.80169166,1.0,1.0,0.433205,0.0,0.0294074,0.00462951,1.0,0.20169945,0.99529915,0.51939998,0.35056357,0.98216522,1.0,1.0
0.0794,1.0,0.79366585,1.0,1.0,0.433205,0.0,0.03639212,0.00215079,1.0,0.2758408,0.99529915,0.60963179,0.3731156,0.98216522,1.0,1.0
0.1,1.0,0.81245905,1.0,1.0,0.433205,0.0,0.02885306,0.01292542,1.0,0.37702011,0.99529915,0.65217818,0.27427921,0.98216522,1.0,1.0
0.1259,1.0,0.82426988,1.0,1.0,0.433205,0.0,0.02414125,0.03383143,1.0,0.48864291,0.99529915,0.8023221,0.28427359,0.98216522,1.0,1.0
0.1585,1.0,0.84573775,1.0,1.0,0.433205,0.0,0.0200013,0.04278117,1.0,0.56588573,0.99529915,0.89745225,0.27023407,0.98216522,1.0,1.0
0.1995,1.0,0.86706192,1.0,1.0,0.433205,0.0,0.0367004,0.13225366,1.0,0.68567677,0.99529915,0.95970821,0.2963846,0.98216522,1.0,1.0
0.2512,1.0,0.87952593,1.0,1.0,0.433205,0.0,0.03854098,0.42547228,1.0,0.77509266,0.99529915,0.99159833,0.22037845,0.98216522,1.0,1.0
0.3162,1.0,0.89298223,1.0,1.0,0.433205,0.0,0.02397584,0.74388714,1.0,0.82378453,0.99529915,1.0,0.2970608,0.98216522,1.0,1.0
0.3981,1.0,0.896287,1.0,1.0,0.433205,0.0,0.02655368,0.92376472,1.0,0.87766595,0.99529915,1.0,0.28341323,0.98216522,1.0,1.0
0.5012,1.0,0.90426867,1.0,1.0,0.433205,0.0,0.02317013,0.99061267,1.0,0.9265342,0.99529915,1.0,0.34282333,0.98216522,1.0,1.0
0.6309,1.0,0.90794233,1.0,1.0,0.433205,0.0,0.03289345,0.99531219,1.0,0.9479861,0.99529915,1.0,0.32151619,0.98216522,1.0,1.0
0.7943,1.0,0.90712639,1.0,1.0,0.433205,0.0,0.02272113,1.0,1.0,0.94797143,0.99529915,1.0,0.50267167,0.98216522,1.0,1.0
1.0,1.0,0.90849303,1.0,1.0,0.433205,0.0,0.03902257,1.0,1.0,0.95636688,0.99529915,1.0,0.59629471,0.98216522,1.0,1.0
1.2589,1.0,0.90849303,1.0,1.0,0.433205,0.0,0.02701827,1.0,1.0,0.95328327,0.99529915,1.0,0.605477,0.98216522,1.0,1.0
1.5848,1.0,0.90849303,1.0,1.0,0.433205,0.0,0.03011709,1.0,1.0,0.95328327,0.99529915,1.0,0.68477694,0.98216522,1.0,1.0
1.9952,1.0,0.9038157,1.0,1.0,0.433205,0.0,0.02987618,1.0,1.0,0.94860171,0.99529915,1.0,0.77586962,0.98216522,1.0,1.0
2.5118,1.0,0.90012239,1.0,1.0,0.433205,0.0,0.02677529,1.0,1.0,0.94860171,0.99529915,1.0,0.79742483,0.98216522,1.0,1.0
3.1621,1.0,0.90343146,1.0,1.0,0.433205,0.0,0.03435399,1.0,1.0,0.94389306,0.99529915,1.0,0.78377274,0.98216522,1.0,1.0
3.9808,1.0,0.89541933,1.0,1.0,0.433205,0.0,0.03549152,1.0,1.0,0.9401993,0.99529915,1.0,0.85522573,0.98216522,1.0,1.0
5.0115,1.0,0.89541933,1.0,1.0,0.433205,0.0,0.02024637,1.0,1.0,0.9438946,0.99529915,1.0,0.87703138,0.98216522,1.0,1.0
6.3091,1.0,0.89541933,1.0,1.0,0.433205,0.0,0.02539478,1.0,1.0,0.94924402,0.99529915,1.0,0.8490954,0.98216522,1.0,1.0
7.9426,1.0,0.89266932,1.0,1.0,0.433205,0.0,0.01051048,1.0,1.0,0.94858375,0.99529915,1.0,0.92016241,0.98216522,1.0,1.0
9.9991,1.0,0.89368227,1.0,1.0,0.433205,0.0,0.0347082,1.0,1.0,0.94957613,0.99529915,1.0,0.93341995,0.98216522,1.0,1.0
